Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
,"(640, 172)",,"(640, 500)",,,"(640, 563)",,"(612, 391)","(556, 266)","(640, 610)","(640, 391)","(612, 281)","(640, 610)",
"(612, 109)","(612, 187)","(612, 203)","(556, 266)","(612, 219)","(640, 203)","(667, 250)","(667, 203)","(612, 328)","(640, 516)","(640, 610)","(612, 344)","(640, 500)","(640, 610)","(640, 266)"
"(612, 109)","(640, 187)","(584, 203)","(556, 266)","(612, 219)","(640, 203)","(667, 266)","(695, 203)","(612, 328)","(640, 500)","(640, 610)","(640, 360)","(640, 500)","(640, 610)","(640, 281)"
"(612, 109)","(640, 187)","(584, 203)","(556, 266)","(612, 219)","(640, 203)","(667, 266)","(695, 203)","(612, 344)","(640, 500)","(640, 610)","(640, 360)","(640, 500)","(640, 626)","(640, 281)"
"(612, 109)","(640, 187)","(584, 203)","(556, 250)","(640, 203)","(640, 203)","(667, 250)","(695, 203)","(612, 297)","(640, 500)","(640, 610)","(640, 391)","(640, 500)","(640, 626)","(640, 266)"
"(640, 109)","(612, 187)","(584, 203)","(556, 266)","(612, 219)","(640, 203)","(584, 234)","(640, 203)","(612, 297)","(640, 500)","(640, 610)","(640, 391)","(612, 500)","(640, 626)","(612, 250)"
"(640, 109)","(612, 187)","(584, 203)","(556, 250)","(612, 219)","(640, 203)","(556, 250)","(612, 219)","(612, 297)","(612, 500)","(640, 610)","(640, 391)","(612, 500)","(640, 626)","(640, 250)"
"(612, 109)","(612, 187)","(612, 203)","(556, 266)","(612, 219)","(640, 203)","(556, 266)","(612, 219)","(640, 391)","(612, 500)","(640, 610)","(640, 391)","(612, 297)",,
"(612, 109)","(612, 187)","(612, 203)","(556, 266)","(612, 219)","(640, 203)","(556, 266)","(612, 219)","(640, 391)","(612, 500)","(640, 610)","(640, 391)","(612, 297)",,
"(612, 109)","(612, 187)","(584, 203)","(556, 266)","(612, 234)","(612, 203)","(556, 266)","(640, 219)","(612, 281)","(612, 500)","(640, 610)","(640, 391)","(584, 297)",,"(584, 250)"
,,,"(556, 266)",,,,,"(640, 391)","(612, 500)","(640, 610)","(640, 391)","(612, 500)","(640, 626)","(556, 406)"
"(612, 125)","(612, 203)","(584, 219)","(556, 281)","(584, 234)","(612, 219)","(556, 281)","(584, 234)","(640, 391)","(584, 500)","(640, 610)","(640, 391)","(612, 500)","(640, 626)","(612, 297)"
"(612, 125)","(612, 203)","(584, 234)","(556, 281)","(584, 250)","(612, 234)","(556, 281)","(612, 250)","(640, 391)","(584, 500)","(640, 610)","(640, 391)","(584, 500)","(640, 626)","(640, 313)"
"(612, 125)","(612, 203)","(584, 234)","(556, 281)","(584, 250)","(612, 234)","(556, 281)","(640, 234)","(640, 391)","(584, 500)","(640, 610)","(640, 391)","(584, 500)","(640, 626)","(640, 313)"
"(612, 140)","(612, 219)","(584, 234)","(528, 297)","(612, 250)","(612, 234)","(556, 297)","(612, 250)","(640, 391)","(584, 500)","(640, 610)","(667, 391)","(584, 500)","(640, 626)","(640, 313)"
"(612, 140)","(584, 219)","(584, 234)","(528, 297)","(612, 250)","(612, 250)","(584, 297)","(640, 250)","(640, 391)","(584, 500)","(640, 610)","(667, 391)","(584, 500)","(640, 626)","(612, 328)"
"(612, 156)","(584, 234)","(584, 250)","(528, 313)","(612, 281)","(612, 250)","(556, 297)","(612, 266)","(640, 406)","(584, 500)","(612, 610)","(667, 406)","(584, 500)","(640, 626)","(640, 328)"
"(612, 156)","(584, 234)","(584, 250)","(528, 313)","(584, 266)","(612, 266)","(612, 328)","(640, 266)","(640, 406)","(584, 500)","(640, 610)","(667, 406)","(584, 500)","(640, 626)","(612, 328)"
"(612, 156)","(584, 234)","(584, 250)","(528, 313)","(584, 266)","(612, 266)","(612, 328)","(640, 266)","(640, 406)","(584, 500)","(640, 610)","(667, 406)","(584, 500)","(640, 626)","(612, 328)"
"(612, 172)","(584, 250)","(584, 266)","(528, 328)","(584, 281)","(612, 266)","(528, 313)","(612, 281)","(640, 406)","(584, 500)","(640, 610)","(667, 406)","(584, 500)","(640, 626)","(612, 344)"
