Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(391, 83)","(375, 125)","(344, 135)","(328, 166)","(360, 208)","(375, 135)","(360, 166)","(375, 198)","(344, 208)","(360, 271)","(344, 323)","(360, 208)","(360, 271)","(360, 323)","(360, 177)"
"(391, 83)","(375, 125)","(344, 135)","(328, 166)","(360, 208)","(375, 135)","(360, 166)","(375, 198)","(344, 208)","(360, 271)","(344, 323)","(360, 208)","(360, 260)","(344, 313)","(360, 177)"
"(391, 83)","(375, 125)","(344, 135)","(328, 166)","(360, 208)","(375, 135)","(375, 166)","(375, 198)","(344, 208)","(360, 271)","(344, 323)","(360, 208)","(360, 271)","(344, 323)","(360, 177)"
"(391, 83)","(375, 125)","(344, 135)","(328, 166)","(360, 208)","(375, 135)","(375, 166)","(375, 198)","(344, 219)","(360, 271)","(360, 344)","(360, 208)","(360, 271)","(375, 344)","(360, 177)"
"(391, 83)","(375, 125)","(360, 135)","(328, 166)","(360, 208)","(375, 135)","(375, 166)","(375, 198)","(344, 208)","(360, 271)","(360, 323)","(360, 208)","(360, 271)","(360, 313)","(360, 177)"
"(391, 83)","(375, 125)","(360, 135)","(328, 166)","(360, 208)","(375, 135)","(375, 177)","(375, 198)","(344, 219)","(360, 281)","(360, 375)","(360, 219)","(360, 281)","(391, 344)","(360, 177)"
"(391, 83)","(375, 125)","(360, 135)","(328, 166)","(375, 208)","(391, 135)","(375, 166)","(375, 198)","(360, 208)","(360, 271)","(360, 375)","(360, 208)","(360, 271)","(344, 323)","(360, 177)"
"(391, 83)","(375, 125)","(360, 135)","(344, 177)","(375, 208)","(391, 135)","(375, 166)","(391, 198)","(360, 208)","(360, 292)","(360, 375)","(375, 208)","(360, 281)","(375, 375)","(375, 177)"
"(391, 83)","(375, 125)","(360, 135)","(344, 177)","(375, 208)","(391, 135)","(391, 166)","(391, 198)","(360, 219)","(360, 292)","(360, 375)","(391, 208)","(422, 271)","(453, 323)","(375, 177)"
"(391, 83)","(375, 125)","(360, 135)","(344, 177)","(391, 208)","(375, 135)","(375, 177)","(391, 208)","(360, 219)","(360, 302)","(360, 375)","(360, 219)","(360, 292)","(360, 365)","(360, 177)"
