Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
,"(375, 177)","(375, 166)","(391, 198)","(375, 146)","(375, 166)","(375, 198)","(391, 240)","(360, 240)","(344, 313)","(360, 386)","(360, 240)","(360, 313)","(328, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(375, 198)","(391, 240)","(375, 156)","(375, 198)","(391, 240)","(360, 240)","(360, 313)","(360, 386)","(344, 240)","(344, 313)","(328, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(375, 198)","(391, 229)","(375, 156)","(375, 198)","(391, 229)","(360, 240)","(344, 313)","(360, 386)","(360, 240)","(344, 302)","(328, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(375, 187)","(375, 146)","(375, 156)","(375, 198)","(391, 229)","(360, 240)","(344, 313)","(360, 386)","(360, 240)","(360, 313)","(344, 365)","(360, 198)"
"(375, 104)","(375, 146)","(375, 156)","(375, 198)","(391, 229)","(375, 156)","(375, 198)","(391, 229)","(360, 240)","(344, 302)","(360, 386)","(360, 240)","(360, 302)","(328, 354)","(375, 198)"
"(375, 93)","(375, 146)","(375, 156)","(375, 198)","(391, 219)","(375, 156)","(375, 198)","(391, 229)","(360, 240)","(360, 313)","(360, 386)","(360, 240)","(360, 302)","(344, 365)","(360, 198)"
"(375, 93)","(375, 146)","(375, 156)","(375, 187)","(391, 219)","(375, 156)","(360, 187)","(391, 219)","(360, 240)","(360, 313)","(360, 386)","(360, 240)","(360, 302)","(328, 354)","(360, 198)"
"(375, 93)","(375, 146)","(375, 156)","(375, 198)","(406, 229)","(375, 156)","(360, 198)","(391, 229)","(360, 240)","(360, 313)","(360, 386)","(360, 240)","(360, 302)","(328, 354)","(375, 198)"
"(375, 93)","(375, 135)","(375, 156)","(375, 198)","(406, 229)","(375, 156)","(360, 198)","(391, 229)","(360, 240)","(360, 302)","(360, 386)","(360, 229)","(360, 302)","(344, 354)","(375, 198)"
"(375, 93)","(375, 135)","(375, 156)","(375, 198)","(406, 229)","(375, 156)","(375, 198)","(391, 229)","(360, 240)","(360, 302)","(360, 386)","(360, 229)","(360, 302)","(344, 354)","(375, 198)"
"(375, 93)","(375, 135)","(360, 156)","(375, 198)","(406, 240)","(375, 156)","(375, 198)","(406, 240)","(360, 240)","(360, 313)","(360, 386)","(360, 240)","(360, 302)","(344, 354)","(360, 198)"
"(375, 93)","(375, 135)","(360, 156)","(375, 198)","(406, 240)","(375, 156)","(375, 198)","(406, 240)","(360, 240)","(360, 302)","(360, 386)","(360, 229)","(360, 302)","(344, 354)","(375, 198)"
"(375, 93)","(375, 135)","(360, 156)","(375, 198)","(406, 240)","(375, 156)","(375, 198)","(406, 240)","(360, 229)","(360, 302)","(360, 386)","(360, 229)","(360, 302)","(344, 354)","(375, 198)"
"(375, 93)","(375, 135)","(360, 156)","(375, 198)","(406, 240)","(375, 156)","(375, 198)","(391, 229)","(360, 229)","(360, 302)","(360, 386)","(360, 229)","(360, 302)","(344, 354)","(375, 198)"
"(375, 93)","(375, 135)","(360, 156)","(375, 198)","(406, 229)","(375, 156)","(375, 198)","(391, 229)","(360, 229)","(360, 302)","(360, 386)","(360, 229)","(375, 302)","(344, 354)","(375, 198)"
"(375, 93)","(375, 135)","(360, 156)","(360, 198)","(406, 229)","(375, 156)","(375, 198)","(406, 229)","(360, 229)","(360, 302)","(360, 386)","(360, 229)","(360, 302)","(344, 354)","(360, 198)"
"(375, 93)","(375, 135)","(360, 156)","(360, 198)","(406, 219)","(375, 156)","(375, 198)","(391, 219)","(360, 229)","(360, 302)","(360, 386)","(360, 229)","(360, 302)","(344, 354)","(375, 198)"
"(375, 93)","(375, 135)","(360, 156)","(360, 198)","(406, 219)","(375, 156)","(360, 198)","(391, 219)","(360, 229)","(360, 313)","(360, 386)","(360, 229)","(360, 302)","(344, 365)","(360, 198)"
"(375, 93)","(375, 135)","(360, 156)","(360, 198)","(391, 219)","(360, 156)","(360, 198)","(391, 219)","(360, 240)","(360, 313)","(360, 386)","(360, 229)","(360, 302)","(344, 354)","(360, 198)"
"(375, 93)","(375, 135)","(360, 156)","(360, 198)","(391, 219)","(375, 156)","(360, 198)","(391, 219)","(360, 240)","(360, 313)","(360, 386)","(360, 240)","(360, 302)","(344, 365)","(360, 198)"
"(375, 93)","(375, 135)","(360, 156)","(360, 198)","(391, 229)","(375, 156)","(375, 198)","(391, 229)","(360, 240)","(360, 313)","(360, 386)","(360, 240)","(360, 302)","(344, 365)","(360, 198)"
"(375, 93)","(360, 135)","(360, 156)","(360, 198)","(391, 229)","(375, 156)","(375, 198)","(391, 219)","(360, 240)","(360, 313)","(360, 386)","(360, 240)","(360, 302)","(344, 365)","(360, 198)"
"(375, 93)","(360, 135)","(360, 156)","(360, 198)","(391, 229)","(375, 156)","(375, 198)","(391, 229)","(360, 240)","(360, 313)","(360, 386)","(360, 240)","(360, 302)","(344, 365)","(360, 198)"
"(375, 93)","(375, 135)","(360, 156)","(360, 198)","(391, 229)","(375, 156)","(375, 198)","(391, 219)","(360, 240)","(360, 313)","(360, 386)","(360, 240)","(360, 302)","(344, 365)","(360, 198)"
