Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(360, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(360, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(360, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(344, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
,,,"(297, 219)",,,"(313, 219)",,"(297, 229)",,,"(313, 219)",,,"(297, 198)"
"(172, 83)","(172, 125)","(172, 146)","(187, 177)","(203, 166)","(172, 135)","(172, 177)","(187, 166)","(156, 219)","(156, 281)","(156, 354)","(156, 219)","(172, 281)","(156, 344)","(156, 177)"
"(172, 83)","(172, 125)","(156, 146)","(187, 177)","(203, 166)","(172, 135)","(172, 177)","(187, 166)","(156, 219)","(156, 281)","(156, 354)","(156, 219)","(172, 281)","(156, 344)","(156, 177)"
"(172, 83)","(172, 125)","(156, 146)","(187, 177)","(203, 166)","(172, 135)","(172, 177)","(187, 166)","(156, 219)","(156, 281)","(156, 354)","(156, 219)","(172, 281)","(156, 344)","(156, 177)"
"(172, 83)","(172, 125)","(156, 146)","(187, 177)","(203, 166)","(172, 146)","(172, 177)","(187, 166)","(156, 219)","(172, 281)","(156, 354)","(156, 219)","(172, 281)","(156, 344)","(156, 187)"
"(172, 83)","(172, 125)","(156, 146)","(187, 177)","(203, 166)","(172, 135)","(172, 177)","(187, 166)","(156, 219)","(172, 281)","(156, 365)","(156, 219)","(172, 281)","(156, 344)","(156, 187)"
"(172, 93)","(172, 125)","(156, 146)","(187, 177)","(203, 166)","(172, 146)","(187, 177)","(187, 166)","(156, 219)","(172, 281)","(156, 365)","(156, 219)","(156, 281)","(156, 344)","(156, 187)"
"(172, 93)","(172, 135)","(156, 146)","(187, 177)","(203, 166)","(172, 146)","(187, 177)","(187, 166)","(156, 229)","(172, 292)","(156, 365)","(156, 219)","(156, 281)","(156, 344)","(156, 187)"
"(172, 93)","(172, 135)","(156, 146)","(187, 187)","(203, 166)","(172, 146)","(187, 177)","(187, 166)","(156, 229)","(172, 292)","(156, 365)","(140, 229)","(156, 292)","(172, 344)","(156, 187)"
