Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 166)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 93)","(328, 125)","(328, 135)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 93)","(328, 125)","(328, 146)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(328, 177)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 166)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(328, 177)"
"(328, 83)","(328, 125)","(328, 146)","(313, 177)","(266, 166)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 344)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 166)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 166)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 344)","(344, 219)","(328, 281)","(344, 344)","(344, 187)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 166)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 344)","(344, 219)","(328, 281)","(344, 344)","(328, 177)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 166)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 344)","(344, 219)","(328, 281)","(344, 344)","(328, 177)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 166)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 333)","(344, 219)","(328, 281)","(344, 344)","(328, 177)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 156)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 344)","(344, 219)","(328, 281)","(344, 344)","(328, 177)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 166)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 344)","(344, 219)","(328, 281)","(344, 344)","(328, 177)"
"(328, 83)","(328, 125)","(328, 135)","(313, 177)","(266, 166)","(328, 135)","(297, 156)","(266, 156)","(344, 219)","(328, 281)","(344, 344)","(344, 219)","(328, 281)","(344, 344)","(328, 177)"
