Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(391, 125)","(391, 166)","(375, 177)","(422, 198)","(453, 208)","(391, 177)","(422, 208)","(453, 219)","(344, 240)","(375, 292)","(360, 354)","(360, 240)","(391, 292)","(375, 344)","(360, 208)"
"(391, 135)","(391, 177)","(375, 177)","(422, 208)","(469, 208)","(391, 177)","(422, 198)","(469, 219)","(344, 240)","(375, 292)","(360, 354)","(360, 240)","(391, 292)","(375, 344)","(360, 208)"
"(391, 135)","(391, 177)","(375, 187)","(422, 208)","(469, 219)","(391, 187)","(422, 208)","(469, 219)","(344, 250)","(375, 292)","(360, 354)","(360, 250)","(391, 292)","(375, 344)","(360, 219)"
"(391, 146)","(391, 187)","(375, 187)","(422, 219)","(469, 219)","(391, 187)","(422, 208)","(469, 219)","(344, 250)","(375, 292)","(360, 354)","(360, 250)","(391, 292)","(375, 344)","(360, 219)"
"(391, 146)","(391, 187)","(375, 187)","(422, 208)","(469, 219)","(391, 198)","(422, 208)","(469, 219)","(344, 250)","(391, 292)","(360, 354)","(360, 250)","(391, 292)","(375, 344)","(360, 219)"
"(391, 146)","(391, 187)","(375, 198)","(422, 219)","(469, 219)","(391, 198)","(422, 219)","(469, 219)","(344, 250)","(391, 292)","(360, 354)","(360, 250)","(391, 292)","(375, 344)","(375, 229)"
"(406, 156)","(391, 198)","(375, 198)","(422, 208)","(469, 208)","(391, 198)","(422, 208)","(469, 208)","(344, 260)","(391, 292)","(360, 354)","(360, 260)","(391, 292)","(375, 344)","(360, 229)"
"(391, 156)","(391, 198)","(375, 208)","(422, 219)","(469, 208)","(391, 208)","(422, 219)","(469, 208)","(344, 260)","(391, 292)","(360, 354)","(344, 260)","(391, 292)","(360, 344)","(360, 240)"
"(406, 166)","(391, 198)","(375, 208)","(422, 208)","(469, 208)","(391, 208)","(438, 219)","(469, 208)","(344, 260)","(391, 292)","(360, 354)","(344, 260)","(391, 292)","(360, 344)","(360, 240)"
"(406, 166)","(391, 208)","(391, 208)","(422, 219)","(485, 208)","(391, 208)","(422, 219)","(485, 208)","(344, 271)","(391, 292)","(360, 354)","(344, 260)","(391, 292)","(360, 344)","(360, 240)"
"(406, 166)","(391, 208)","(391, 219)","(422, 219)","(485, 208)","(375, 219)","(422, 219)","(453, 219)","(344, 271)","(391, 292)","(360, 354)","(344, 271)","(391, 292)","(360, 344)","(360, 240)"
"(406, 166)","(391, 208)","(391, 219)","(422, 219)","(469, 219)","(375, 219)","(422, 219)","(453, 219)","(344, 281)","(391, 292)","(360, 354)","(344, 271)","(391, 292)","(360, 344)","(360, 250)"
"(406, 177)","(391, 208)","(375, 219)","(422, 219)","(469, 219)","(391, 219)","(422, 219)","(453, 219)","(344, 281)","(391, 292)","(360, 354)","(344, 281)","(391, 292)","(360, 344)","(360, 250)"
"(406, 177)","(391, 219)","(391, 219)","(422, 229)","(469, 219)","(391, 219)","(438, 229)","(469, 219)","(344, 281)","(391, 292)","(360, 344)","(344, 281)","(391, 292)","(360, 333)","(360, 250)"
"(406, 177)","(391, 219)","(391, 229)","(422, 229)","(469, 219)","(391, 219)","(438, 229)","(453, 219)","(344, 281)","(391, 292)","(360, 344)","(344, 281)","(391, 292)","(360, 333)","(360, 260)"
"(406, 177)","(391, 219)","(391, 229)","(422, 229)","(469, 219)","(391, 229)","(360, 260)","(469, 219)","(328, 292)","(391, 292)","(360, 344)","(344, 281)","(391, 292)","(360, 333)","(360, 260)"
"(406, 187)","(391, 219)","(391, 229)","(422, 229)","(469, 219)","(391, 229)","(438, 229)","(453, 229)","(328, 292)","(391, 292)","(360, 344)","(344, 292)","(360, 323)","(360, 333)","(360, 260)"
"(406, 187)","(391, 229)","(375, 229)","(422, 229)","(469, 219)","(391, 229)","(438, 229)","(453, 229)","(328, 292)","(391, 292)","(360, 344)","(344, 292)","(360, 323)","(360, 333)","(360, 260)"
