Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(612, 93)","(640, 172)","(640, 203)","(695, 281)","(695, 250)","(640, 203)","(612, 266)","(667, 234)","(640, 344)","(612, 485)","(612, 626)","(612, 344)","(612, 485)","(612, 626)","(640, 266)"
"(612, 93)","(640, 172)","(640, 203)","(695, 281)","(695, 250)","(640, 203)","(612, 266)","(667, 234)","(640, 344)","(612, 485)","(612, 626)","(612, 344)","(612, 485)","(612, 626)","(640, 266)"
"(612, 109)","(640, 172)","(640, 203)","(695, 281)","(640, 281)","(640, 203)","(695, 281)","(667, 234)","(640, 313)","(612, 485)","(612, 626)","(640, 313)","(612, 485)","(612, 626)","(640, 266)"
"(612, 109)","(612, 172)","(640, 203)","(695, 281)","(640, 234)","(612, 203)","(612, 250)","(667, 219)","(640, 328)","(612, 485)","(612, 626)","(640, 328)","(612, 485)","(612, 610)","(640, 266)"
"(612, 109)","(640, 172)","(640, 203)","(695, 281)","(640, 234)","(640, 203)","(695, 281)","(667, 219)","(640, 328)","(612, 485)","(612, 626)","(640, 328)","(612, 485)","(612, 626)","(640, 266)"
"(612, 109)","(612, 172)","(640, 203)","(695, 281)","(695, 234)","(612, 203)","(612, 266)","(667, 219)","(640, 328)","(612, 485)","(612, 626)","(640, 328)","(612, 485)","(612, 626)","(640, 266)"
"(612, 109)","(612, 172)","(640, 203)","(695, 281)","(695, 234)","(612, 203)","(612, 266)","(667, 219)","(640, 328)","(612, 485)","(612, 626)","(640, 328)","(612, 485)","(612, 626)","(640, 266)"
"(612, 109)","(612, 172)","(640, 203)","(695, 281)","(695, 219)","(612, 203)","(612, 266)","(667, 203)","(612, 360)","(612, 500)","(612, 626)","(612, 360)","(612, 500)","(612, 626)","(640, 266)"
"(612, 109)","(612, 187)","(640, 203)","(695, 281)","(695, 234)","(612, 203)","(612, 266)","(667, 219)","(612, 360)","(612, 485)","(612, 626)","(612, 360)","(612, 485)","(612, 626)","(640, 281)"
"(612, 109)","(612, 187)","(640, 203)","(695, 281)","(695, 234)","(612, 203)","(612, 250)","(667, 219)","(640, 328)","(612, 485)","(612, 626)","(612, 328)","(612, 485)","(612, 626)","(640, 266)"
"(612, 109)","(612, 187)","(640, 203)","(695, 281)","(667, 234)","(612, 203)","(612, 250)","(667, 219)","(640, 328)","(612, 485)","(612, 626)","(612, 328)","(612, 485)","(612, 626)","(640, 266)"
"(612, 109)","(612, 187)","(640, 203)","(695, 281)","(667, 234)","(612, 203)","(612, 250)","(667, 219)","(640, 328)","(612, 485)","(612, 626)","(612, 328)","(612, 485)","(612, 626)","(640, 266)"
"(612, 109)","(612, 187)","(640, 203)","(695, 266)","(695, 250)","(612, 203)","(640, 266)","(667, 219)","(640, 328)","(612, 485)","(612, 626)","(612, 328)","(612, 485)","(612, 626)","(640, 266)"
