Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(313, 114)","(360, 135)","(375, 146)","(313, 198)","(391, 187)","(391, 146)","(391, 156)","(391, 198)","(391, 219)","(375, 302)","(375, 375)","(391, 219)","(375, 302)","(375, 386)","(375, 177)"
"(313, 114)","(360, 135)","(360, 146)","(344, 177)","(391, 187)","(391, 146)","(391, 156)","(391, 187)","(391, 219)","(375, 302)","(375, 375)","(391, 219)","(375, 302)","(375, 386)","(375, 177)"
"(313, 114)","(360, 125)","(328, 135)","(344, 177)","(391, 187)","(391, 146)","(391, 156)","(391, 187)","(391, 219)","(375, 302)","(375, 375)","(391, 219)","(375, 302)","(375, 386)","(375, 177)"
"(313, 114)","(360, 135)","(344, 135)","(344, 177)","(391, 187)","(391, 146)","(391, 156)","(391, 187)","(391, 219)","(375, 302)","(375, 375)","(391, 219)","(375, 302)","(375, 386)","(375, 177)"
"(375, 83)","(360, 135)","(375, 146)","(391, 166)","(391, 187)","(391, 146)","(375, 187)","(391, 198)","(391, 219)","(375, 302)","(375, 375)","(391, 219)","(375, 302)","(375, 386)","(375, 177)"
"(375, 83)","(360, 125)","(375, 146)","(391, 166)","(391, 187)","(391, 146)","(375, 187)","(391, 198)","(391, 219)","(375, 302)","(375, 375)","(391, 219)","(375, 302)","(375, 375)","(375, 177)"
"(313, 125)","(360, 125)","(375, 146)","(313, 187)","(391, 187)","(391, 146)","(391, 156)","(391, 187)","(391, 219)","(375, 302)","(375, 375)","(391, 219)","(375, 302)","(375, 375)","(375, 177)"
,"(344, 104)","(344, 83)",,"(391, 187)","(375, 135)","(391, 156)","(391, 187)","(391, 208)","(375, 302)","(375, 375)","(391, 208)","(375, 302)","(375, 375)","(375, 177)"
"(297, 114)","(344, 114)","(313, 125)",,"(391, 187)","(375, 146)","(391, 156)","(391, 187)","(391, 208)","(375, 302)","(375, 375)","(391, 208)","(375, 302)","(375, 375)","(375, 177)"
,"(360, 104)","(344, 83)","(313, 177)","(391, 187)","(391, 146)","(391, 156)","(391, 187)","(375, 208)","(375, 302)","(375, 375)","(391, 208)","(375, 302)","(375, 386)","(360, 156)"
"(344, 62)","(344, 114)","(328, 104)","(375, 166)","(391, 187)","(375, 125)","(391, 166)","(391, 198)","(391, 219)","(375, 302)","(375, 375)","(391, 208)","(375, 302)","(375, 386)","(360, 166)"
,"(360, 114)","(328, 104)","(375, 166)","(391, 198)","(391, 156)","(391, 166)","(391, 198)","(391, 219)","(375, 302)","(375, 375)","(391, 219)","(375, 313)","(375, 375)","(360, 166)"
"(360, 52)","(360, 125)","(375, 146)","(406, 166)","(406, 198)","(328, 135)","(297, 187)",,"(391, 219)","(375, 313)","(375, 375)","(391, 219)","(375, 313)","(375, 375)","(375, 177)"
,"(360, 114)","(375, 156)","(313, 198)","(391, 198)","(391, 156)","(375, 187)","(406, 198)","(391, 219)","(375, 302)","(375, 375)","(391, 219)","(360, 313)","(375, 386)","(360, 177)"
,"(360, 114)","(360, 146)","(391, 177)","(391, 198)","(391, 135)","(375, 187)","(391, 198)","(391, 219)","(375, 313)","(375, 375)","(391, 219)","(360, 313)","(375, 375)","(360, 166)"
,"(344, 114)","(360, 146)","(313, 208)","(391, 198)","(375, 166)","(375, 187)","(391, 198)","(391, 229)","(375, 313)","(375, 375)","(391, 229)","(360, 313)","(375, 386)","(375, 187)"
"(406, 104)","(360, 135)","(375, 156)","(328, 208)","(391, 198)","(328, 146)","(375, 187)","(391, 198)","(406, 240)","(375, 313)","(375, 375)","(391, 229)","(360, 313)","(375, 386)","(391, 187)"
"(344, 62)","(360, 114)","(375, 146)","(391, 166)",,"(328, 135)","(360, 177)",,"(391, 229)","(375, 313)","(375, 375)","(391, 229)","(360, 313)","(375, 386)","(391, 177)"
"(297, 114)","(360, 135)","(313, 156)","(406, 187)","(391, 208)","(313, 156)","(406, 198)","(391, 198)","(406, 240)","(375, 313)","(375, 375)","(391, 240)","(360, 313)","(375, 386)","(375, 187)"
