Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(422, 93)","(406, 135)","(406, 156)","(391, 198)","(422, 240)","(406, 156)","(406, 198)","(422, 229)","(391, 229)","(391, 302)","(391, 365)","(391, 229)","(391, 292)","(391, 354)","(406, 198)"
"(422, 93)","(406, 135)","(391, 156)","(391, 198)","(422, 240)","(422, 156)","(406, 198)","(422, 240)","(391, 229)","(406, 302)","(391, 375)","(406, 229)","(406, 292)","(406, 354)","(406, 198)"
"(422, 93)","(406, 135)","(391, 156)","(391, 198)","(422, 240)","(406, 156)","(406, 198)","(422, 240)","(406, 229)","(406, 302)","(391, 365)","(406, 229)","(406, 292)",,"(406, 198)"
"(422, 93)","(406, 135)","(406, 156)","(406, 208)","(438, 229)","(406, 156)","(406, 198)","(438, 229)","(406, 229)","(391, 302)","(391, 375)","(406, 229)","(406, 292)","(406, 354)","(406, 187)"
"(422, 93)","(406, 135)","(406, 146)","(422, 198)","(453, 198)","(406, 146)","(406, 187)","(438, 198)","(406, 229)","(391, 302)","(391, 365)","(391, 229)","(391, 292)","(391, 354)","(406, 187)"
"(422, 93)","(406, 135)","(406, 146)","(438, 187)","(469, 166)","(406, 146)","(422, 187)","(453, 177)","(406, 229)","(391, 302)","(391, 375)","(391, 229)","(406, 292)","(406, 354)","(406, 187)"
"(406, 93)","(406, 135)","(391, 146)","(438, 187)","(453, 156)","(406, 146)","(422, 177)","(453, 156)","(406, 229)","(391, 302)","(391, 365)","(406, 229)","(406, 292)","(391, 354)","(406, 187)"
"(406, 93)","(406, 135)","(391, 146)","(438, 187)","(453, 156)","(406, 156)","(422, 177)","(453, 156)","(406, 229)","(406, 302)","(391, 365)","(406, 229)","(406, 302)","(391, 354)","(406, 187)"
"(406, 93)","(406, 135)","(391, 156)","(438, 187)","(453, 156)","(406, 156)","(422, 177)","(453, 166)","(406, 229)","(406, 292)","(391, 365)","(406, 229)","(406, 292)","(391, 354)","(406, 187)"
"(406, 93)","(406, 135)","(391, 156)","(438, 187)","(453, 156)","(406, 156)","(422, 177)","(453, 166)","(406, 229)","(406, 302)","(391, 365)","(406, 229)","(406, 292)","(391, 354)","(406, 187)"
