Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(391, 125)","(391, 166)","(391, 177)","(438, 198)","(422, 166)","(391, 177)","(438, 198)","(438, 166)","(360, 250)","(406, 313)","(391, 375)","(360, 250)","(406, 313)","(391, 365)","(375, 219)"
"(391, 125)","(391, 156)","(391, 177)","(438, 198)","(422, 166)","(391, 177)","(438, 198)","(438, 166)","(375, 250)","(406, 313)","(391, 375)","(375, 250)","(406, 302)","(391, 365)","(391, 208)"
"(391, 114)","(391, 156)","(391, 177)","(438, 187)","(422, 166)","(406, 166)","(438, 198)","(438, 166)","(375, 250)","(391, 313)","(391, 375)","(375, 250)","(391, 302)","(391, 365)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(438, 187)","(422, 156)","(406, 166)","(438, 187)","(438, 166)","(375, 250)","(391, 302)","(391, 375)","(375, 240)","(391, 302)","(391, 365)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(438, 187)","(422, 156)","(406, 166)","(438, 187)","(438, 156)","(375, 240)","(391, 302)","(391, 375)","(375, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(438, 187)","(422, 156)","(406, 166)","(438, 187)","(438, 156)","(375, 240)","(391, 302)","(391, 375)","(375, 240)","(391, 302)","(391, 365)","(391, 208)"
"(391, 114)","(391, 146)","(391, 166)","(438, 187)","(438, 156)","(406, 166)","(438, 187)","(438, 156)","(375, 240)","(391, 302)","(391, 375)","(375, 240)","(391, 302)","(391, 365)","(391, 208)"
"(391, 114)","(391, 146)","(391, 166)","(438, 187)","(438, 156)","(406, 166)","(438, 187)","(438, 156)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 146)","(391, 166)","(438, 187)","(438, 156)","(406, 166)","(438, 187)","(438, 156)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 365)","(391, 208)"
"(391, 114)","(391, 146)","(391, 166)","(438, 187)","(438, 156)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 365)","(391, 208)"
"(391, 114)","(391, 146)","(391, 166)","(422, 187)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 198)"
"(391, 114)","(391, 146)","(391, 166)","(438, 187)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 198)"
"(391, 114)","(391, 156)","(391, 166)","(438, 187)","(438, 166)","(422, 156)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 198)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(406, 240)","(391, 302)","(391, 354)","(391, 198)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(406, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(406, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 198)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(422, 156)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(422, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(391, 156)","(391, 166)","(438, 198)","(438, 166)","(422, 156)","(438, 198)","(438, 166)","(391, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(406, 156)","(391, 166)","(438, 187)","(438, 166)","(422, 156)","(438, 198)","(438, 166)","(375, 240)","(391, 302)","(391, 375)","(391, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(406, 156)","(391, 166)","(438, 187)","(438, 166)","(422, 156)","(438, 198)","(438, 166)","(375, 240)","(391, 302)","(391, 375)","(375, 240)","(391, 302)","(391, 354)","(391, 208)"
"(391, 114)","(406, 156)","(391, 166)","(438, 187)","(438, 156)","(406, 166)","(438, 198)","(438, 166)","(375, 240)","(391, 302)","(391, 375)","(375, 240)","(391, 302)","(391, 365)","(391, 208)"
"(406, 114)","(406, 156)","(391, 166)","(438, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(375, 240)","(391, 302)","(391, 375)","(375, 240)","(391, 302)","(391, 365)","(391, 208)"
"(406, 114)","(406, 156)","(391, 166)","(438, 198)","(438, 166)","(406, 166)","(438, 198)","(438, 166)","(375, 250)","(391, 302)","(391, 375)","(375, 240)","(391, 302)","(391, 365)","(391, 208)"
"(406, 114)","(406, 156)","(406, 177)","(438, 198)","(438, 166)","(406, 177)","(438, 198)","(438, 177)","(375, 250)","(391, 302)","(391, 375)","(375, 250)","(391, 302)","(391, 365)","(391, 208)"
"(406, 125)","(406, 156)","(406, 177)","(438, 198)","(438, 177)","(406, 177)","(438, 208)","(438, 177)","(360, 250)","(391, 313)","(391, 375)","(360, 250)","(391, 302)","(391, 365)","(391, 208)"
"(406, 125)","(406, 166)","(406, 177)","(438, 208)","(453, 177)","(406, 177)","(453, 208)","(453, 166)","(360, 250)","(391, 313)","(391, 375)","(360, 250)","(391, 313)","(391, 365)","(391, 219)"
"(422, 125)","(406, 166)","(406, 187)","(453, 208)","(438, 177)","(422, 177)","(453, 208)","(453, 177)","(360, 250)","(406, 313)","(391, 375)","(360, 250)","(391, 313)","(391, 365)","(391, 219)"
"(422, 135)","(406, 177)","(406, 187)","(453, 219)","(453, 177)","(406, 187)","(453, 219)","(453, 177)","(360, 260)","(406, 313)","(391, 375)","(360, 260)","(391, 313)","(391, 365)","(391, 219)"
"(422, 135)","(406, 177)","(406, 198)","(438, 219)","(453, 187)","(406, 187)","(453, 219)","(453, 187)","(360, 260)","(406, 313)","(391, 375)","(360, 260)","(391, 313)","(391, 365)","(375, 229)"
"(422, 146)","(406, 187)","(406, 198)","(453, 229)","(453, 187)","(406, 198)","(453, 229)","(453, 187)","(360, 260)","(406, 313)","(391, 375)","(360, 260)","(406, 313)","(391, 365)","(375, 229)"
"(422, 156)","(406, 187)","(406, 208)","(453, 229)","(453, 198)","(406, 198)","(453, 240)","(453, 198)","(360, 271)","(406, 313)","(391, 375)","(360, 271)","(406, 313)","(391, 365)","(375, 240)"
