Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(391, 73)","(375, 125)","(360, 135)","(391, 177)","(422, 146)","(391, 146)","(422, 187)","(422, 146)","(344, 229)","(344, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(375, 177)","(422, 146)","(391, 146)","(422, 187)","(422, 146)","(344, 219)","(344, 302)","(328, 396)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(375, 177)","(422, 146)","(391, 146)","(422, 177)","(422, 146)","(344, 219)","(344, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(360, 177)"
"(391, 73)","(375, 125)","(360, 135)","(375, 177)","(422, 146)","(391, 135)","(422, 177)","(422, 146)","(344, 219)","(344, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 177)","(422, 146)","(391, 135)","(422, 177)","(422, 146)","(344, 219)","(344, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(375, 73)","(375, 125)","(360, 135)","(391, 177)","(422, 146)","(391, 135)","(422, 177)","(422, 146)","(344, 229)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 177)","(422, 135)","(391, 135)","(422, 177)","(422, 146)","(344, 219)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 166)","(422, 135)","(391, 135)","(422, 177)","(422, 146)","(344, 229)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 166)","(422, 135)","(391, 135)","(422, 177)","(422, 146)","(344, 229)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 166)","(422, 135)","(391, 135)","(422, 177)","(422, 146)","(344, 219)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 166)","(422, 146)","(391, 135)","(422, 177)","(422, 146)","(344, 219)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 166)","(422, 135)","(391, 135)","(422, 177)","(422, 146)","(344, 219)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 177)","(422, 135)","(391, 135)","(422, 177)","(438, 146)","(344, 219)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 177)","(422, 135)","(391, 135)","(422, 177)","(438, 146)","(344, 229)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 125)","(360, 135)","(391, 177)","(422, 135)","(391, 135)","(422, 177)","(438, 146)","(344, 219)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 177)"
"(391, 73)","(375, 114)","(360, 135)","(391, 166)","(422, 135)","(391, 135)","(422, 177)","(438, 146)","(360, 229)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
"(391, 73)","(375, 114)","(360, 135)","(391, 166)","(422, 135)","(391, 135)","(422, 177)","(422, 146)","(360, 229)","(360, 302)","(328, 386)","(375, 229)","(406, 302)","(406, 375)","(375, 187)"
