Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(584, 78)","(612, 156)","(584, 187)","(584, 266)","(528, 219)","(612, 187)","(556, 266)","(528, 219)","(500, 344)","(584, 500)","(612, 626)","(473, 360)","(612, 485)",,"(584, 266)"
"(584, 78)","(612, 156)","(584, 187)","(556, 250)","(500, 219)","(612, 187)","(556, 266)","(528, 219)","(500, 344)","(584, 485)","(612, 626)","(473, 360)","(612, 485)",,"(584, 266)"
"(584, 78)","(612, 156)","(584, 187)","(556, 250)","(528, 219)","(612, 187)","(556, 266)","(528, 219)","(584, 344)","(584, 485)","(612, 626)","(500, 344)","(612, 485)",,"(584, 266)"
"(612, 78)","(584, 156)","(584, 187)","(556, 250)","(528, 219)","(612, 187)","(556, 266)","(528, 219)","(500, 360)","(584, 500)","(612, 626)","(473, 360)","(612, 485)",,"(584, 266)"
"(584, 78)","(584, 156)","(584, 187)","(556, 250)","(528, 219)","(612, 187)","(556, 266)","(528, 219)","(500, 360)","(584, 500)","(612, 626)","(473, 360)","(473, 469)",,"(556, 250)"
"(584, 78)","(584, 156)","(584, 187)","(556, 250)","(528, 219)","(584, 172)","(556, 266)","(528, 219)","(500, 360)","(584, 485)","(612, 626)","(473, 360)","(473, 469)",,"(584, 250)"
"(584, 78)","(584, 156)","(584, 172)","(556, 234)","(528, 219)","(584, 187)","(556, 266)","(528, 219)","(500, 328)","(584, 485)","(612, 626)","(500, 328)","(612, 485)",,"(584, 250)"
"(584, 78)","(584, 156)","(584, 187)","(556, 250)","(528, 219)","(584, 187)","(556, 266)","(528, 219)","(528, 328)","(584, 485)","(584, 626)","(473, 313)","(445, 438)",,"(556, 250)"
"(584, 78)","(584, 156)","(584, 187)","(556, 250)","(528, 219)","(584, 187)","(556, 266)","(528, 219)","(528, 328)","(584, 485)","(612, 626)","(473, 328)","(445, 438)",,"(556, 250)"
"(584, 78)","(584, 156)","(584, 187)","(556, 250)",,"(556, 187)","(556, 250)","(528, 219)","(528, 328)","(584, 485)","(612, 626)","(473, 328)","(445, 453)","(473, 500)","(528, 266)"
"(584, 78)","(584, 156)","(556, 187)","(556, 266)","(500, 234)","(584, 187)","(528, 266)","(500, 219)","(528, 344)","(584, 485)","(612, 626)","(473, 344)","(473, 469)",,"(528, 266)"
"(556, 78)","(556, 156)","(556, 187)","(556, 266)","(500, 234)","(556, 187)","(528, 266)","(528, 219)","(528, 360)","(584, 485)","(612, 626)","(473, 360)","(445, 469)","(584, 610)","(528, 266)"
"(556, 93)","(556, 172)","(556, 187)","(556, 266)","(500, 234)","(584, 187)","(556, 281)","(500, 234)","(528, 360)","(556, 485)","(584, 626)","(473, 360)","(445, 469)","(584, 610)","(528, 266)"
"(556, 93)","(556, 172)","(556, 203)","(528, 266)","(500, 219)","(584, 203)","(528, 281)","(500, 234)","(556, 360)","(556, 485)","(584, 626)","(500, 360)","(584, 485)","(584, 610)","(556, 281)"
"(556, 109)","(556, 187)","(556, 203)","(612, 281)","(500, 250)","(584, 203)","(528, 297)","(500, 250)","(612, 360)","(556, 485)","(584, 626)","(612, 360)","(584, 485)","(612, 626)","(584, 281)"
"(556, 109)","(556, 203)","(556, 219)","(556, 297)","(500, 250)","(584, 219)","(528, 313)","(500, 250)","(612, 360)","(556, 485)","(584, 626)","(640, 360)","(584, 485)","(612, 626)","(584, 297)"
"(528, 125)","(556, 203)","(528, 234)","(500, 313)","(500, 266)","(584, 234)","(528, 313)","(500, 266)","(612, 375)","(556, 485)","(584, 610)","(640, 360)","(584, 485)","(612, 626)","(584, 297)"
