Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(360, 73)","(360, 125)","(344, 135)","(375, 177)","(391, 156)","(360, 135)","(360, 177)","(391, 156)","(344, 229)","(344, 292)","(344, 375)","(328, 219)","(344, 292)","(344, 375)","(344, 177)"
"(360, 73)","(360, 125)","(344, 135)","(375, 177)","(391, 166)","(344, 135)","(360, 177)","(391, 156)","(344, 219)","(344, 292)","(344, 354)","(328, 219)","(344, 292)","(344, 375)","(344, 177)"
"(360, 83)","(360, 125)","(344, 135)","(375, 177)","(391, 156)","(344, 135)","(360, 166)","(391, 156)","(344, 219)","(344, 292)","(344, 365)","(328, 219)","(344, 292)","(375, 344)","(344, 177)"
"(360, 83)","(360, 125)","(360, 135)","(375, 177)","(391, 166)","(344, 135)","(360, 166)","(391, 166)","(344, 219)","(344, 281)","(344, 333)","(328, 219)","(344, 281)","(344, 313)","(344, 177)"
"(360, 83)","(360, 125)","(360, 135)","(391, 166)","(391, 156)","(344, 135)","(360, 166)","(391, 156)","(344, 219)","(344, 271)","(344, 313)","(328, 219)","(344, 271)","(344, 313)","(344, 177)"
"(375, 83)","(360, 125)","(360, 135)","(375, 166)","(406, 156)","(344, 135)","(344, 166)","(391, 156)","(328, 219)","(344, 271)","(344, 302)","(328, 219)","(344, 271)","(344, 313)","(344, 177)"
"(375, 83)","(360, 125)","(360, 135)","(391, 177)","(406, 156)","(344, 135)","(360, 166)","(406, 156)","(328, 219)","(344, 260)","(344, 302)","(328, 219)","(328, 260)","(344, 313)","(344, 177)"
"(375, 83)","(360, 125)","(360, 135)","(391, 177)","(406, 166)","(344, 135)","(360, 166)","(406, 166)","(328, 219)","(344, 281)","(344, 313)","(328, 219)","(344, 281)","(344, 313)","(344, 177)"
"(375, 83)","(360, 125)","(360, 135)","(391, 177)","(406, 166)","(344, 135)","(360, 177)","(406, 166)","(328, 219)","(344, 281)","(360, 333)","(328, 219)","(344, 281)","(344, 313)","(344, 177)"
"(375, 83)","(360, 125)","(360, 135)","(391, 177)","(406, 166)","(360, 135)","(375, 177)","(406, 166)","(328, 219)","(344, 292)","(344, 354)","(328, 219)","(344, 281)","(360, 344)","(344, 177)"
"(375, 83)","(360, 135)","(360, 146)","(391, 177)","(422, 166)","(360, 135)","(391, 177)","(406, 156)","(328, 219)","(344, 292)","(344, 365)","(328, 208)","(344, 292)","(344, 292)","(344, 177)"
"(375, 83)","(360, 135)","(360, 146)","(391, 177)","(422, 166)","(360, 146)","(391, 177)","(391, 146)","(328, 229)","(344, 292)","(344, 375)","(328, 219)","(344, 292)","(360, 365)","(344, 177)"
"(375, 93)","(360, 135)","(360, 146)","(391, 177)","(422, 166)","(360, 146)","(375, 177)","(422, 166)","(313, 229)","(360, 292)","(344, 375)","(313, 229)","(344, 292)","(360, 365)","(344, 187)"
"(375, 93)","(360, 135)","(360, 146)","(391, 187)","(422, 166)","(360, 146)","(375, 187)","(406, 177)","(313, 229)","(360, 302)","(344, 375)","(313, 229)","(344, 292)","(360, 365)","(344, 187)"
"(391, 104)","(360, 146)","(360, 156)","(391, 187)","(406, 177)","(360, 156)","(391, 187)","(406, 177)","(313, 229)","(360, 302)","(344, 386)","(313, 229)","(360, 302)","(344, 375)","(344, 198)"
"(391, 104)","(375, 146)","(360, 156)","(391, 187)","(406, 177)","(360, 156)","(391, 198)","(422, 177)","(313, 240)","(360, 302)","(344, 386)","(313, 240)","(360, 302)","(344, 365)","(344, 198)"
"(391, 114)","(375, 156)","(360, 166)","(391, 198)","(422, 177)","(360, 156)","(391, 198)","(422, 177)","(313, 240)","(360, 302)","(344, 386)","(313, 240)","(360, 302)","(344, 365)","(344, 198)"
"(391, 114)","(375, 156)","(360, 166)","(391, 198)","(422, 177)","(375, 166)","(391, 198)","(422, 187)","(313, 250)","(360, 302)","(344, 386)","(313, 240)","(360, 302)","(344, 365)","(344, 208)"
"(391, 114)","(375, 166)","(360, 177)","(391, 208)","(406, 187)","(375, 177)","(391, 208)","(422, 187)","(313, 250)","(375, 302)","(344, 386)","(313, 250)","(360, 302)","(344, 365)","(344, 208)"
"(391, 125)","(375, 166)","(360, 177)","(391, 219)","(406, 187)","(375, 177)","(391, 219)","(422, 198)","(313, 250)","(375, 302)","(344, 386)","(313, 250)","(360, 302)","(344, 365)","(344, 219)"
"(391, 125)","(375, 166)","(360, 187)","(391, 229)","(406, 198)","(375, 187)","(391, 219)","(422, 198)","(313, 260)","(375, 302)","(344, 386)","(313, 260)","(360, 302)","(344, 365)","(344, 219)"
"(391, 135)","(375, 177)","(360, 187)","(391, 229)","(406, 198)","(375, 187)","(391, 229)","(422, 208)","(313, 260)","(375, 302)","(344, 386)","(313, 260)","(360, 302)","(344, 365)","(344, 229)"
"(391, 135)","(375, 177)","(360, 198)","(391, 240)","(422, 208)","(375, 198)","(391, 229)","(422, 208)","(313, 271)","(375, 313)","(344, 386)","(328, 271)","(360, 302)","(344, 365)","(344, 229)"
"(391, 146)","(375, 187)","(360, 198)","(391, 240)","(422, 219)","(375, 198)","(391, 229)","(422, 208)","(297, 271)","(375, 313)","(344, 386)","(328, 271)","(360, 313)","(344, 365)","(344, 229)"
"(391, 146)","(375, 187)","(360, 198)","(391, 250)","(422, 219)","(375, 198)","(391, 240)","(422, 219)","(297, 271)","(375, 313)","(344, 386)","(313, 271)","(360, 313)","(344, 365)","(344, 240)"
"(391, 146)","(375, 198)","(360, 208)","(391, 250)","(422, 219)","(375, 208)","(391, 240)","(422, 219)","(297, 281)","(375, 313)","(344, 386)","(313, 271)","(360, 313)","(344, 365)","(344, 240)"
"(391, 156)","(375, 198)","(360, 208)","(391, 250)","(422, 219)","(375, 208)","(391, 240)","(422, 219)","(297, 281)","(375, 313)","(344, 386)","(313, 281)","(360, 313)","(344, 365)","(344, 250)"
"(391, 156)","(375, 198)","(360, 208)","(391, 260)","(422, 229)","(375, 208)","(391, 250)","(422, 229)","(297, 281)","(375, 313)","(344, 386)","(313, 281)","(360, 302)","(344, 365)","(344, 250)"
"(391, 156)","(375, 198)","(360, 219)","(391, 260)","(422, 229)","(375, 219)","(391, 250)","(422, 229)","(297, 292)","(375, 313)","(344, 386)","(313, 281)","(360, 302)","(344, 365)","(344, 250)"
"(391, 166)","(375, 208)","(360, 219)","(391, 260)","(422, 229)","(360, 219)","(391, 250)","(422, 229)","(297, 292)","(375, 313)","(344, 386)","(313, 281)","(360, 302)","(344, 365)","(328, 250)"
"(391, 166)","(375, 208)","(360, 219)","(391, 260)","(422, 240)","(360, 219)","(391, 250)","(422, 229)","(297, 292)","(375, 313)","(344, 386)","(313, 281)","(360, 313)","(344, 365)","(328, 260)"
"(391, 166)","(375, 208)","(360, 219)","(391, 260)","(422, 229)","(375, 219)","(391, 260)","(422, 229)","(297, 292)","(375, 313)","(344, 386)","(297, 292)","(360, 313)","(344, 365)","(328, 260)"
"(391, 166)","(375, 208)","(360, 219)","(391, 260)","(422, 240)","(360, 219)","(391, 260)","(422, 240)","(297, 292)","(375, 313)","(344, 386)","(297, 292)","(360, 313)","(344, 365)","(328, 260)"
"(391, 166)","(375, 208)","(360, 219)","(391, 260)","(422, 240)","(360, 219)","(391, 260)","(422, 240)","(297, 292)","(375, 313)","(344, 386)","(313, 281)","(360, 313)","(344, 365)","(328, 260)"
"(391, 166)","(375, 208)","(360, 219)","(391, 260)","(422, 240)","(375, 219)","(391, 260)","(422, 240)","(297, 292)","(375, 313)","(344, 386)","(313, 281)","(360, 313)","(344, 365)","(328, 260)"
"(391, 166)","(375, 208)","(360, 219)","(391, 260)","(422, 240)","(375, 219)","(391, 260)","(422, 240)","(297, 292)","(375, 313)","(344, 386)","(313, 281)","(360, 313)","(344, 365)","(328, 260)"
"(391, 156)","(375, 208)","(360, 219)","(391, 260)","(422, 229)","(375, 219)","(391, 250)","(422, 229)","(297, 292)","(375, 313)","(344, 386)","(313, 281)","(360, 313)","(344, 365)","(344, 250)"
"(391, 156)","(375, 198)","(360, 219)","(391, 260)","(422, 229)","(375, 208)","(391, 250)","(422, 229)","(297, 281)","(375, 313)","(344, 386)","(313, 281)","(375, 313)","(344, 365)","(344, 250)"
"(391, 156)","(375, 198)","(360, 208)","(391, 250)","(422, 229)","(375, 208)","(391, 240)","(422, 229)","(313, 281)","(375, 313)","(344, 386)","(313, 281)","(360, 313)","(344, 365)","(344, 250)"
"(391, 146)","(375, 198)","(360, 208)","(406, 250)","(406, 219)","(375, 208)","(391, 240)","(422, 219)","(313, 281)","(375, 313)","(344, 386)","(328, 281)","(375, 313)","(344, 365)","(344, 240)"
"(391, 146)","(375, 187)","(360, 208)","(406, 240)","(422, 219)","(375, 198)","(391, 229)","(422, 219)","(313, 271)","(375, 313)","(344, 386)","(328, 271)","(375, 313)","(344, 365)","(344, 240)"
"(391, 146)","(375, 187)","(360, 198)","(391, 240)","(406, 208)","(375, 198)","(391, 229)","(422, 208)","(313, 271)","(375, 313)","(344, 386)","(313, 271)","(375, 313)","(344, 365)","(344, 240)"
"(375, 135)","(375, 177)","(360, 187)","(391, 229)","(406, 198)","(375, 187)","(391, 229)","(406, 198)","(313, 271)","(375, 313)","(344, 386)","(313, 271)","(375, 302)","(344, 365)","(344, 229)"
"(375, 135)","(375, 177)","(360, 187)","(391, 219)","(422, 198)","(375, 187)","(391, 219)","(422, 198)","(313, 260)","(375, 313)","(344, 386)","(328, 260)","(360, 302)","(344, 365)","(344, 229)"
