Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(375, 104)","(375, 146)","(375, 156)","(375, 187)","(375, 187)","(375, 156)","(375, 187)","(391, 219)","(375, 229)","(375, 281)","(360, 354)","(360, 229)","(375, 281)","(375, 344)","(375, 187)"
"(391, 114)","(375, 146)","(375, 156)","(391, 187)","(406, 219)","(375, 156)","(391, 187)","(391, 208)","(375, 229)","(360, 292)","(360, 354)","(360, 219)","(360, 292)","(360, 344)","(375, 187)"
"(391, 114)","(375, 146)","(375, 156)","(391, 187)","(406, 219)","(375, 156)","(375, 187)","(391, 219)","(375, 229)","(375, 292)","(360, 354)","(360, 229)","(360, 292)","(375, 344)","(375, 187)"
"(391, 114)","(375, 146)","(375, 156)","(391, 187)","(422, 219)","(375, 156)","(375, 187)","(406, 208)","(375, 229)","(375, 292)","(360, 354)","(360, 219)","(375, 281)","(375, 344)","(375, 187)"
"(391, 114)","(375, 146)","(375, 156)","(391, 187)","(422, 208)","(375, 156)","(391, 187)","(406, 208)","(375, 219)","(375, 292)","(360, 354)","(344, 219)","(375, 292)","(360, 344)","(375, 187)"
"(391, 114)","(375, 146)","(375, 156)","(391, 187)","(438, 208)","(375, 156)","(391, 187)","(422, 208)","(360, 229)","(375, 292)","(360, 354)","(360, 229)","(375, 281)","(375, 344)","(375, 187)"
"(391, 114)","(375, 146)","(375, 156)","(406, 187)","(438, 208)","(375, 156)","(391, 187)","(438, 208)","(360, 229)","(375, 292)","(375, 354)","(360, 229)","(375, 281)","(375, 344)","(375, 187)"
"(391, 114)","(391, 156)","(375, 156)","(406, 187)","(438, 198)","(375, 156)","(406, 187)","(438, 198)","(360, 229)","(375, 292)","(375, 354)","(360, 229)","(375, 281)","(375, 344)","(375, 187)"
"(406, 114)","(375, 156)","(375, 156)","(406, 187)","(453, 198)","(375, 156)","(406, 198)","(438, 198)","(344, 229)","(375, 292)","(360, 354)","(360, 229)","(391, 281)","(375, 344)","(375, 198)"
"(406, 114)","(391, 156)","(375, 166)","(406, 198)","(453, 198)","(391, 166)","(406, 198)","(438, 198)","(344, 229)","(375, 292)","(360, 354)","(360, 229)","(391, 281)","(375, 344)","(375, 198)"
"(406, 125)","(391, 156)","(375, 166)","(406, 198)","(453, 198)","(391, 166)","(406, 198)","(438, 198)","(344, 229)","(375, 292)","(360, 354)","(360, 229)","(391, 281)","(375, 344)","(375, 198)"
"(406, 125)","(391, 166)","(375, 166)","(406, 198)","(453, 198)","(375, 166)","(406, 198)","(438, 198)","(344, 229)","(375, 292)","(360, 354)","(360, 229)","(391, 281)","(375, 344)","(375, 198)"
"(406, 125)","(391, 166)","(375, 177)","(406, 198)","(453, 198)","(391, 177)","(406, 198)","(453, 198)","(344, 229)","(375, 292)","(375, 354)","(375, 240)","(391, 292)","(375, 344)","(375, 208)"
"(406, 125)","(391, 166)","(375, 177)","(406, 208)","(453, 198)","(391, 177)","(406, 208)","(453, 198)","(344, 240)","(375, 292)","(375, 354)","(360, 240)","(391, 292)","(375, 344)","(360, 208)"
"(406, 135)","(391, 177)","(375, 177)","(406, 208)","(453, 198)","(391, 177)","(406, 208)","(438, 208)","(344, 240)","(391, 292)","(375, 354)","(360, 240)","(391, 292)","(375, 344)","(360, 208)"
"(406, 135)","(391, 177)","(375, 177)","(406, 219)","(453, 208)","(391, 187)","(406, 219)","(438, 208)","(344, 240)","(391, 292)","(375, 354)","(360, 240)","(391, 292)","(375, 344)","(360, 219)"
"(406, 146)","(391, 177)","(375, 187)","(406, 219)","(453, 208)","(391, 187)","(406, 219)","(453, 208)","(344, 250)","(391, 292)","(375, 354)","(360, 250)","(391, 292)","(375, 344)","(360, 219)"
"(406, 146)","(391, 187)","(375, 187)","(422, 219)","(453, 208)","(391, 187)","(406, 219)","(438, 208)","(344, 250)","(391, 292)","(375, 354)","(375, 250)","(391, 292)","(375, 344)","(375, 219)"
"(422, 156)","(391, 187)","(391, 187)","(406, 229)","(453, 219)","(391, 198)","(406, 229)","(438, 219)","(344, 250)","(391, 292)","(375, 354)","(360, 250)","(391, 292)","(375, 344)","(375, 219)"
"(422, 156)","(391, 187)","(391, 198)","(422, 229)","(453, 219)","(391, 198)","(406, 229)","(438, 219)","(344, 250)","(391, 292)","(375, 354)","(360, 250)","(391, 292)","(375, 344)","(375, 229)"
"(422, 156)","(391, 198)","(391, 198)","(422, 229)","(453, 219)","(391, 198)","(406, 229)","(438, 219)","(344, 260)","(391, 292)","(375, 354)","(360, 260)","(391, 292)","(375, 344)","(375, 229)"
"(422, 166)","(391, 198)","(375, 198)","(375, 219)","(406, 219)","(406, 208)","(406, 240)","(391, 219)","(344, 260)","(391, 292)","(375, 354)","(375, 260)","(391, 292)","(375, 344)","(375, 229)"
"(422, 166)","(391, 208)","(375, 208)","(406, 240)","(453, 229)","(406, 208)","(422, 240)","(438, 229)","(344, 260)","(391, 292)","(375, 354)","(360, 260)","(391, 292)","(375, 344)","(375, 240)"
"(422, 166)","(391, 208)","(391, 208)","(422, 240)","(438, 229)","(391, 208)","(422, 240)","(438, 229)","(344, 271)","(391, 292)","(375, 344)","(344, 260)","(391, 292)","(375, 344)","(360, 240)"
"(422, 177)","(391, 208)","(391, 208)","(422, 240)","(438, 240)","(391, 219)","(406, 250)","(453, 240)","(344, 271)","(391, 292)","(375, 344)","(360, 271)","(391, 292)","(375, 344)","(375, 240)"
"(422, 177)","(391, 219)","(391, 219)","(422, 250)","(453, 240)","(391, 219)","(406, 250)","(453, 240)","(344, 271)","(391, 292)","(375, 344)","(344, 271)","(391, 292)","(375, 344)","(360, 250)"
"(422, 177)","(391, 219)","(391, 219)","(422, 250)","(453, 240)","(391, 219)","(406, 250)","(453, 240)","(344, 281)","(391, 292)","(375, 354)","(344, 271)","(391, 292)","(375, 344)","(360, 250)"
"(422, 187)","(391, 219)","(391, 219)","(406, 260)","(453, 240)","(391, 229)","(406, 250)","(453, 240)","(344, 281)","(391, 292)","(375, 354)","(344, 281)","(391, 292)","(375, 344)","(360, 250)"
"(422, 187)","(391, 219)","(391, 229)","(422, 260)","(453, 240)","(391, 229)","(406, 250)","(453, 240)","(328, 281)","(391, 292)","(375, 354)","(328, 281)","(391, 292)","(375, 344)","(360, 260)"
"(422, 187)","(391, 229)","(391, 229)","(422, 260)","(453, 240)","(391, 229)","(422, 250)","(453, 240)","(328, 292)","(391, 292)","(375, 354)","(344, 281)","(391, 292)","(375, 344)","(360, 260)"
"(422, 187)","(391, 229)","(391, 229)","(422, 260)","(453, 250)","(391, 229)","(406, 260)","(453, 250)","(328, 292)","(391, 292)","(375, 354)","(328, 292)","(391, 292)","(375, 344)","(360, 260)"
"(422, 198)","(391, 229)","(391, 240)","(422, 271)","(453, 250)","(391, 240)","(422, 260)","(453, 250)","(328, 292)","(391, 292)","(375, 354)","(328, 292)","(391, 292)","(375, 344)","(360, 260)"
"(422, 198)","(391, 229)","(391, 240)","(422, 271)","(453, 250)","(391, 240)","(422, 260)","(453, 250)","(328, 292)","(391, 292)","(375, 354)","(344, 292)","(391, 292)","(375, 344)","(360, 271)"
"(422, 198)","(391, 229)","(391, 240)","(422, 271)","(453, 250)","(391, 240)","(422, 260)","(453, 250)","(328, 292)","(391, 292)","(375, 354)","(344, 292)","(391, 292)","(375, 344)","(375, 271)"
"(422, 198)","(391, 240)","(391, 240)","(422, 271)","(453, 250)","(406, 240)","(422, 260)","(453, 250)","(328, 292)","(391, 292)","(375, 354)","(344, 292)","(406, 281)","(375, 344)","(375, 271)"
"(422, 198)","(391, 240)","(375, 240)","(422, 271)","(453, 260)","(406, 240)","(422, 271)","(453, 260)","(328, 292)","(391, 292)","(375, 354)","(344, 292)","(406, 281)","(375, 344)","(375, 271)"
"(422, 198)","(391, 240)","(375, 240)","(422, 271)","(453, 260)","(406, 240)","(422, 271)","(453, 260)","(328, 302)","(391, 292)","(375, 354)","(344, 292)","(406, 281)","(375, 344)","(375, 271)"
"(422, 198)","(391, 240)","(391, 240)","(422, 271)","(453, 260)","(406, 240)","(422, 271)","(453, 260)","(328, 292)","(391, 292)","(375, 354)","(344, 292)","(406, 281)","(375, 344)","(360, 271)"
"(422, 198)","(391, 240)","(391, 240)","(422, 271)","(453, 260)","(391, 240)","(422, 271)","(453, 260)","(328, 302)","(391, 292)","(375, 354)","(344, 292)","(406, 281)","(375, 344)","(360, 271)"
"(422, 198)","(391, 229)","(391, 240)","(422, 271)","(453, 260)","(391, 240)","(422, 271)","(453, 260)","(328, 292)","(391, 292)","(375, 354)","(344, 292)","(406, 281)","(375, 344)","(360, 271)"
"(422, 198)","(391, 229)","(391, 240)","(422, 271)","(453, 250)","(391, 240)","(422, 260)","(453, 260)","(328, 292)","(391, 292)","(375, 354)","(344, 292)","(406, 281)","(375, 344)","(360, 271)"
"(422, 198)","(391, 229)","(391, 240)","(422, 271)","(453, 250)","(406, 240)","(422, 260)","(453, 250)","(328, 292)","(391, 292)","(375, 354)","(344, 292)","(406, 281)","(375, 344)","(375, 271)"
