Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(438, 187)","(422, 229)","(406, 240)","(360, 271)","(344, 240)","(422, 240)","(360, 271)",,"(360, 323)","(438, 344)","(391, 406)","(375, 313)",,"(391, 396)","(391, 281)"
"(438, 187)","(422, 229)","(406, 240)","(360, 271)","(344, 250)","(422, 250)","(360, 271)",,"(360, 323)","(438, 344)","(391, 406)","(375, 323)",,"(391, 386)","(391, 281)"
"(438, 187)","(422, 229)","(422, 240)","(360, 260)","(328, 250)","(406, 240)","(360, 271)","(328, 240)","(360, 323)","(438, 344)","(391, 406)","(360, 313)",,"(391, 396)","(391, 281)"
"(438, 187)","(422, 229)","(422, 240)","(360, 260)","(328, 240)","(422, 240)","(360, 260)","(344, 240)","(360, 313)","(438, 344)","(391, 406)","(360, 313)",,"(391, 396)","(391, 281)"
"(438, 177)","(422, 219)","(422, 229)","(391, 271)","(328, 240)","(422, 229)","(360, 260)","(328, 240)","(360, 313)","(438, 344)","(391, 406)","(360, 302)",,"(391, 396)","(391, 271)"
"(438, 166)","(422, 208)","(422, 219)","(391, 260)","(375, 281)","(422, 219)","(391, 260)","(375, 281)","(360, 302)","(438, 344)","(391, 406)","(375, 302)","(422, 344)","(391, 396)","(391, 260)"
"(438, 146)","(422, 198)","(422, 208)","(391, 250)",,"(422, 208)",,"(438, 177)","(375, 292)","(438, 344)","(391, 406)","(375, 281)","(422, 333)","(391, 396)","(391, 250)"
"(422, 135)","(422, 187)","(422, 198)","(406, 240)","(422, 166)","(422, 198)","(422, 177)","(438, 166)","(375, 271)","(438, 333)","(391, 406)","(375, 271)","(422, 333)","(391, 386)","(391, 240)"
"(422, 114)","(422, 166)","(422, 187)","(406, 229)","(406, 156)","(422, 187)","(391, 229)","(391, 250)","(375, 260)","(438, 333)","(391, 396)","(375, 260)","(422, 333)","(391, 396)","(391, 229)"
"(438, 114)","(422, 156)","(406, 166)","(453, 198)","(422, 135)","(406, 166)","(391, 208)","(438, 135)","(375, 260)","(438, 333)","(391, 396)","(375, 250)","(406, 323)","(391, 375)","(391, 219)"
"(438, 93)","(422, 146)","(406, 156)","(438, 198)",,"(406, 156)","(391, 198)","(391, 219)","(391, 250)","(422, 323)","(391, 396)","(375, 250)","(406, 323)","(375, 375)","(406, 208)"
"(422, 83)","(422, 135)","(406, 146)","(438, 198)",,"(406, 146)","(391, 187)","(422, 198)","(391, 240)","(406, 313)","(391, 396)","(375, 240)","(406, 313)","(391, 375)","(406, 198)"
