,Head x,Neck x,Right Shoulder x,Right Elbow x,Right Wrist x,Left Shoulder x,Left Elbow x,Left Wrist x,Right Hip x,Right Knee x,Right Ankle x,Left Hip x,Left Knee x,Left Ankle x,Chest x,Head y,Neck y,Right Shoulder y,Right Elbow y,Right Wrist y,Left Shoulder y,Left Elbow y,Left Wrist y,Right Hip y,Right Knee y,Right Ankle y,Left Hip y,Left Knee y,Left Ankle y,Chest y
0,422.0,406.0,406.0,438.0,469.0,406.0,438.0,453.0,375.0,391.0,391.0,375.0,406.0,406.0,391.0,93.0,135.0,146.0,187.0,177.0,146.0,187.0,177.0,229.0,302.0,375.0,229.0,302.0,354.0,198.0
1,438.0,422.0,406.0,453.0,469.0,406.0,453.0,360.0,375.0,406.0,391.0,375.0,406.0,406.0,391.0,114.0,146.0,156.0,187.0,166.0,156.0,187.0,208.0,240.0,302.0,375.0,240.0,302.0,354.0,198.0
2,438.0,422.0,406.0,453.0,469.0,422.0,438.0,469.0,360.0,406.0,391.0,360.0,406.0,391.0,391.0,125.0,166.0,177.0,208.0,166.0,177.0,208.0,166.0,250.0,302.0,375.0,250.0,302.0,365.0,208.0
3,438.0,422.0,406.0,453.0,469.0,422.0,453.0,469.0,360.0,422.0,391.0,360.0,406.0,391.0,391.0,135.0,177.0,187.0,219.0,187.0,187.0,229.0,187.0,260.0,313.0,375.0,260.0,313.0,365.0,229.0
4,438.0,422.0,406.0,453.0,469.0,438.0,453.0,469.0,360.0,422.0,391.0,360.0,406.0,391.0,391.0,156.0,187.0,198.0,240.0,198.0,198.0,240.0,187.0,271.0,313.0,375.0,271.0,313.0,365.0,240.0
5,328.0,328.0,313.0,250.0,266.0,344.0,360.0,469.0,360.0,532.0,391.0,469.0,234.0,203.0,187.0,198.0,229.0,240.0,240.0,219.0,229.0,260.0,208.0,281.0,302.0,375.0,271.0,281.0,323.0,250.0
6,234.0,219.0,203.0,547.0,266.0,516.0,250.0,266.0,360.0,422.0,391.0,172.0,422.0,203.0,187.0,187.0,219.0,229.0,271.0,219.0,229.0,250.0,229.0,281.0,313.0,375.0,281.0,313.0,323.0,260.0
7,234.0,219.0,203.0,250.0,266.0,516.0,250.0,266.0,156.0,422.0,391.0,469.0,422.0,203.0,187.0,187.0,219.0,229.0,250.0,219.0,240.0,250.0,229.0,281.0,313.0,375.0,281.0,313.0,323.0,260.0
8,328.0,422.0,532.0,250.0,266.0,344.0,360.0,266.0,360.0,422.0,187.0,469.0,219.0,203.0,187.0,198.0,208.0,240.0,240.0,219.0,229.0,250.0,219.0,281.0,313.0,354.0,281.0,292.0,323.0,250.0
9,234.0,219.0,203.0,453.0,266.0,219.0,250.0,266.0,360.0,422.0,187.0,187.0,234.0,203.0,187.0,166.0,198.0,208.0,240.0,208.0,208.0,229.0,208.0,271.0,313.0,354.0,260.0,281.0,333.0,240.0
10,438.0,219.0,203.0,547.0,469.0,516.0,344.0,375.0,360.0,532.0,187.0,187.0,219.0,203.0,391.0,146.0,187.0,198.0,260.0,187.0,219.0,219.0,198.0,260.0,302.0,354.0,250.0,281.0,333.0,229.0
11,547.0,422.0,203.0,547.0,266.0,219.0,219.0,266.0,469.0,532.0,187.0,187.0,219.0,203.0,391.0,166.0,166.0,177.0,250.0,208.0,177.0,208.0,208.0,260.0,302.0,354.0,240.0,281.0,323.0,219.0
12,438.0,532.0,187.0,203.0,250.0,406.0,219.0,250.0,375.0,406.0,500.0,469.0,219.0,485.0,203.0,114.0,187.0,166.0,208.0,219.0,166.0,198.0,219.0,240.0,302.0,354.0,250.0,281.0,323.0,198.0
13,547.0,516.0,406.0,516.0,547.0,406.0,438.0,485.0,469.0,516.0,500.0,469.0,500.0,485.0,391.0,135.0,177.0,156.0,229.0,250.0,156.0,187.0,198.0,240.0,292.0,354.0,240.0,281.0,323.0,198.0
14,422.0,422.0,406.0,516.0,532.0,516.0,422.0,453.0,391.0,516.0,500.0,391.0,500.0,485.0,500.0,93.0,135.0,146.0,208.0,250.0,166.0,198.0,219.0,229.0,292.0,344.0,229.0,281.0,323.0,198.0
15,532.0,422.0,516.0,516.0,422.0,516.0,516.0,516.0,500.0,516.0,391.0,500.0,500.0,500.0,516.0,114.0,135.0,166.0,208.0,240.0,166.0,208.0,240.0,229.0,292.0,375.0,229.0,292.0,354.0,198.0
