,Head x,Neck x,Right Shoulder x,Right Elbow x,Right Wrist x,Left Shoulder x,Left Elbow x,Left Wrist x,Right Hip x,Right Knee x,Right Ankle x,Left Hip x,Left Knee x,Left Ankle x,Chest x,Head y,Neck y,Right Shoulder y,Right Elbow y,Right Wrist y,Left Shoulder y,Left Elbow y,Left Wrist y,Right Hip y,Right Knee y,Right Ankle y,Left Hip y,Left Knee y,Left Ankle y,Chest y
0,247.0,229.0,238.0,211.0,203.0,211.0,185.0,203.0,185.0,194.0,185.0,167.0,185.0,185.0,203.0,93.0,172.0,203.0,234.0,172.0,172.0,219.0,156.0,297.0,391.0,500.0,297.0,391.0,485.0,250.0
1,247.0,229.0,238.0,211.0,203.0,211.0,176.0,203.0,185.0,203.0,185.0,167.0,194.0,185.0,203.0,109.0,172.0,203.0,234.0,172.0,187.0,219.0,156.0,297.0,391.0,500.0,297.0,375.0,485.0,250.0
2,247.0,229.0,238.0,211.0,203.0,211.0,176.0,203.0,185.0,203.0,185.0,167.0,194.0,185.0,203.0,109.0,172.0,219.0,234.0,172.0,187.0,219.0,156.0,297.0,391.0,500.0,297.0,391.0,485.0,250.0
3,247.0,229.0,238.0,211.0,203.0,211.0,176.0,203.0,185.0,211.0,185.0,167.0,194.0,185.0,203.0,109.0,172.0,219.0,250.0,172.0,187.0,234.0,172.0,297.0,391.0,485.0,297.0,391.0,485.0,250.0
4,247.0,229.0,238.0,211.0,203.0,211.0,176.0,203.0,176.0,211.0,185.0,158.0,203.0,185.0,194.0,109.0,187.0,234.0,250.0,172.0,187.0,234.0,172.0,313.0,391.0,500.0,297.0,375.0,469.0,250.0
5,247.0,229.0,238.0,211.0,203.0,211.0,176.0,203.0,176.0,211.0,185.0,158.0,203.0,194.0,194.0,125.0,187.0,234.0,234.0,187.0,203.0,234.0,172.0,313.0,391.0,516.0,313.0,391.0,469.0,266.0
6,247.0,229.0,229.0,203.0,203.0,211.0,176.0,203.0,167.0,220.0,185.0,158.0,203.0,194.0,194.0,125.0,187.0,234.0,234.0,187.0,203.0,234.0,172.0,328.0,391.0,485.0,313.0,375.0,469.0,266.0
7,247.0,229.0,238.0,211.0,203.0,211.0,176.0,203.0,167.0,220.0,194.0,158.0,211.0,194.0,194.0,125.0,203.0,234.0,266.0,187.0,203.0,250.0,187.0,328.0,391.0,485.0,328.0,375.0,453.0,266.0
8,247.0,229.0,229.0,203.0,203.0,211.0,176.0,203.0,167.0,220.0,185.0,158.0,203.0,194.0,194.0,140.0,203.0,234.0,250.0,187.0,219.0,250.0,187.0,328.0,391.0,500.0,328.0,375.0,469.0,266.0
9,255.0,220.0,203.0,176.0,203.0,229.0,176.0,203.0,158.0,220.0,176.0,158.0,203.0,185.0,194.0,156.0,219.0,219.0,266.0,203.0,234.0,250.0,203.0,328.0,406.0,516.0,328.0,375.0,469.0,281.0
10,203.0,220.0,229.0,185.0,203.0,220.0,176.0,203.0,167.0,220.0,185.0,150.0,203.0,185.0,194.0,140.0,219.0,250.0,266.0,203.0,234.0,266.0,203.0,344.0,406.0,500.0,328.0,391.0,469.0,281.0
11,247.0,220.0,220.0,211.0,203.0,211.0,176.0,203.0,167.0,220.0,185.0,150.0,203.0,185.0,194.0,156.0,219.0,250.0,234.0,219.0,234.0,266.0,203.0,344.0,406.0,516.0,344.0,375.0,469.0,297.0
12,255.0,229.0,229.0,203.0,203.0,211.0,176.0,203.0,167.0,220.0,194.0,150.0,203.0,194.0,194.0,156.0,234.0,266.0,281.0,219.0,250.0,281.0,219.0,344.0,406.0,485.0,344.0,375.0,453.0,297.0
13,247.0,229.0,229.0,203.0,203.0,211.0,176.0,203.0,167.0,229.0,194.0,150.0,203.0,194.0,194.0,172.0,234.0,281.0,297.0,234.0,250.0,281.0,219.0,360.0,406.0,485.0,344.0,375.0,453.0,297.0
14,255.0,229.0,229.0,203.0,211.0,211.0,176.0,194.0,167.0,229.0,194.0,150.0,203.0,194.0,194.0,172.0,250.0,281.0,297.0,234.0,250.0,297.0,234.0,375.0,406.0,469.0,344.0,375.0,453.0,313.0
15,255.0,229.0,229.0,211.0,211.0,211.0,176.0,194.0,185.0,229.0,194.0,167.0,141.0,194.0,194.0,187.0,250.0,297.0,313.0,234.0,266.0,297.0,234.0,375.0,406.0,469.0,344.0,360.0,453.0,313.0
16,255.0,229.0,229.0,203.0,203.0,211.0,176.0,194.0,185.0,229.0,194.0,176.0,141.0,194.0,194.0,187.0,250.0,281.0,313.0,250.0,266.0,313.0,250.0,375.0,406.0,485.0,360.0,360.0,453.0,313.0
17,255.0,229.0,229.0,203.0,203.0,211.0,176.0,194.0,185.0,229.0,194.0,176.0,141.0,194.0,203.0,203.0,266.0,281.0,328.0,266.0,281.0,313.0,266.0,375.0,422.0,485.0,360.0,360.0,453.0,328.0
18,255.0,229.0,229.0,211.0,203.0,211.0,176.0,194.0,229.0,238.0,194.0,203.0,141.0,194.0,211.0,203.0,266.0,297.0,281.0,250.0,281.0,328.0,266.0,422.0,422.0,485.0,406.0,360.0,453.0,344.0
19,255.0,220.0,229.0,211.0,203.0,203.0,167.0,194.0,229.0,194.0,194.0,220.0,185.0,194.0,220.0,219.0,281.0,297.0,281.0,250.0,297.0,328.0,281.0,422.0,485.0,485.0,422.0,485.0,453.0,360.0
20,247.0,229.0,229.0,211.0,203.0,211.0,176.0,194.0,229.0,194.0,194.0,220.0,185.0,194.0,220.0,219.0,281.0,297.0,328.0,281.0,297.0,344.0,297.0,422.0,485.0,485.0,422.0,485.0,453.0,360.0
21,255.0,229.0,220.0,194.0,203.0,220.0,167.0,247.0,185.0,167.0,194.0,176.0,167.0,194.0,194.0,250.0,281.0,313.0,266.0,297.0,281.0,344.0,234.0,360.0,391.0,485.0,344.0,391.0,453.0,328.0
22,255.0,229.0,211.0,167.0,203.0,229.0,176.0,203.0,185.0,167.0,194.0,211.0,167.0,194.0,203.0,234.0,297.0,313.0,360.0,297.0,297.0,360.0,297.0,360.0,391.0,485.0,406.0,391.0,453.0,344.0
23,255.0,229.0,211.0,176.0,203.0,220.0,167.0,203.0,185.0,167.0,194.0,211.0,167.0,194.0,203.0,250.0,313.0,328.0,360.0,313.0,313.0,360.0,313.0,360.0,391.0,485.0,406.0,391.0,453.0,344.0
24,255.0,229.0,229.0,194.0,203.0,220.0,167.0,203.0,185.0,167.0,194.0,211.0,167.0,194.0,203.0,250.0,313.0,328.0,297.0,313.0,313.0,375.0,313.0,360.0,391.0,485.0,406.0,391.0,453.0,360.0
25,255.0,229.0,220.0,176.0,203.0,220.0,176.0,203.0,203.0,167.0,194.0,203.0,167.0,194.0,211.0,266.0,313.0,328.0,375.0,328.0,328.0,375.0,328.0,422.0,391.0,485.0,422.0,391.0,453.0,375.0
26,255.0,229.0,220.0,176.0,203.0,220.0,176.0,203.0,203.0,167.0,194.0,203.0,167.0,194.0,211.0,266.0,328.0,344.0,375.0,328.0,344.0,375.0,328.0,422.0,391.0,485.0,422.0,391.0,453.0,391.0
27,255.0,229.0,220.0,176.0,203.0,229.0,176.0,203.0,203.0,167.0,194.0,211.0,167.0,194.0,211.0,266.0,328.0,344.0,391.0,328.0,344.0,391.0,328.0,422.0,391.0,485.0,438.0,391.0,453.0,391.0
28,255.0,229.0,220.0,176.0,203.0,229.0,176.0,203.0,185.0,194.0,194.0,194.0,203.0,194.0,203.0,281.0,328.0,344.0,391.0,344.0,344.0,391.0,344.0,406.0,469.0,485.0,422.0,453.0,453.0,375.0
29,255.0,229.0,220.0,176.0,203.0,229.0,176.0,203.0,185.0,194.0,194.0,194.0,203.0,194.0,203.0,281.0,328.0,328.0,391.0,344.0,360.0,391.0,344.0,438.0,469.0,485.0,438.0,453.0,453.0,391.0
30,264.0,229.0,220.0,176.0,203.0,229.0,220.0,203.0,185.0,141.0,194.0,185.0,150.0,194.0,203.0,281.0,328.0,344.0,391.0,344.0,344.0,375.0,344.0,422.0,422.0,485.0,422.0,422.0,453.0,375.0
31,255.0,229.0,220.0,176.0,203.0,229.0,176.0,211.0,211.0,141.0,194.0,211.0,150.0,194.0,220.0,266.0,328.0,344.0,391.0,344.0,360.0,391.0,344.0,469.0,422.0,485.0,469.0,422.0,453.0,406.0
32,264.0,229.0,229.0,176.0,203.0,229.0,176.0,203.0,194.0,194.0,194.0,211.0,150.0,194.0,203.0,281.0,328.0,344.0,391.0,344.0,344.0,391.0,328.0,391.0,453.0,485.0,469.0,422.0,453.0,360.0
33,264.0,229.0,229.0,176.0,203.0,229.0,176.0,203.0,211.0,194.0,194.0,203.0,150.0,194.0,220.0,281.0,328.0,344.0,375.0,328.0,344.0,375.0,328.0,438.0,453.0,485.0,453.0,422.0,453.0,391.0
34,264.0,229.0,220.0,176.0,203.0,229.0,194.0,211.0,211.0,194.0,194.0,211.0,150.0,194.0,229.0,266.0,328.0,344.0,375.0,328.0,344.0,360.0,328.0,453.0,453.0,485.0,453.0,422.0,453.0,391.0
35,264.0,238.0,229.0,176.0,211.0,229.0,176.0,211.0,211.0,194.0,194.0,203.0,150.0,194.0,220.0,266.0,313.0,328.0,375.0,328.0,328.0,375.0,328.0,422.0,453.0,485.0,422.0,422.0,453.0,391.0
36,264.0,238.0,220.0,176.0,211.0,229.0,194.0,211.0,211.0,194.0,194.0,211.0,150.0,194.0,220.0,266.0,313.0,328.0,360.0,313.0,328.0,360.0,313.0,422.0,453.0,485.0,438.0,422.0,453.0,391.0
37,273.0,238.0,229.0,176.0,211.0,229.0,255.0,211.0,176.0,141.0,194.0,176.0,150.0,194.0,203.0,266.0,313.0,328.0,360.0,313.0,328.0,266.0,313.0,406.0,406.0,485.0,406.0,422.0,453.0,360.0
38,273.0,238.0,220.0,176.0,211.0,238.0,255.0,211.0,211.0,141.0,194.0,220.0,150.0,194.0,229.0,250.0,297.0,328.0,360.0,313.0,313.0,266.0,297.0,422.0,406.0,485.0,438.0,422.0,453.0,375.0
