,Head x,Neck x,Right Shoulder x,Right Elbow x,Right Wrist x,Left Shoulder x,Left Elbow x,Left Wrist x,Right Hip x,Right Knee x,Right Ankle x,Left Hip x,Left Knee x,Left Ankle x,Chest x,Head y,Neck y,Right Shoulder y,Right Elbow y,Right Wrist y,Left Shoulder y,Left Elbow y,Left Wrist y,Right Hip y,Right Knee y,Right Ankle y,Left Hip y,Left Knee y,Left Ankle y,Chest y
0,255.0,229.0,229.0,211.0,203.0,220.0,176.0,203.0,176.0,211.0,185.0,167.0,194.0,185.0,203.0,109.0,172.0,187.0,234.0,172.0,187.0,219.0,172.0,297.0,391.0,500.0,297.0,391.0,485.0,250.0
1,247.0,229.0,238.0,211.0,203.0,220.0,176.0,203.0,176.0,211.0,185.0,167.0,203.0,185.0,203.0,109.0,187.0,219.0,250.0,172.0,187.0,234.0,172.0,313.0,391.0,500.0,297.0,375.0,485.0,250.0
2,247.0,229.0,238.0,211.0,203.0,211.0,176.0,203.0,176.0,211.0,185.0,158.0,203.0,185.0,203.0,125.0,187.0,234.0,250.0,172.0,203.0,234.0,172.0,313.0,391.0,500.0,313.0,391.0,485.0,266.0
3,247.0,229.0,238.0,211.0,203.0,211.0,176.0,203.0,176.0,220.0,185.0,158.0,211.0,185.0,194.0,125.0,187.0,234.0,250.0,187.0,203.0,234.0,187.0,328.0,391.0,500.0,313.0,375.0,469.0,266.0
4,255.0,229.0,229.0,203.0,203.0,220.0,176.0,203.0,167.0,220.0,185.0,158.0,203.0,194.0,194.0,140.0,203.0,219.0,234.0,187.0,219.0,250.0,187.0,328.0,391.0,500.0,328.0,375.0,469.0,266.0
5,255.0,229.0,229.0,203.0,203.0,220.0,176.0,203.0,167.0,220.0,185.0,158.0,211.0,185.0,194.0,140.0,203.0,234.0,250.0,203.0,219.0,250.0,187.0,328.0,406.0,516.0,328.0,391.0,485.0,281.0
6,255.0,229.0,229.0,211.0,203.0,220.0,176.0,203.0,167.0,220.0,185.0,158.0,203.0,185.0,194.0,156.0,219.0,234.0,266.0,203.0,234.0,266.0,203.0,344.0,406.0,516.0,328.0,375.0,469.0,281.0
7,255.0,229.0,220.0,185.0,203.0,220.0,176.0,203.0,167.0,220.0,185.0,158.0,203.0,194.0,194.0,156.0,219.0,234.0,266.0,203.0,234.0,266.0,203.0,344.0,406.0,500.0,328.0,391.0,469.0,281.0
8,255.0,229.0,229.0,211.0,203.0,220.0,176.0,203.0,167.0,220.0,185.0,150.0,203.0,185.0,194.0,172.0,219.0,250.0,281.0,219.0,234.0,281.0,219.0,344.0,406.0,500.0,344.0,375.0,469.0,297.0
9,255.0,229.0,229.0,211.0,203.0,220.0,176.0,203.0,167.0,229.0,194.0,150.0,203.0,194.0,194.0,172.0,234.0,266.0,281.0,219.0,250.0,281.0,219.0,360.0,406.0,469.0,344.0,375.0,453.0,297.0
10,255.0,229.0,229.0,203.0,203.0,220.0,176.0,203.0,167.0,229.0,194.0,150.0,132.0,194.0,194.0,172.0,234.0,266.0,297.0,234.0,250.0,281.0,234.0,360.0,406.0,469.0,344.0,360.0,453.0,297.0
11,255.0,229.0,220.0,211.0,203.0,229.0,176.0,203.0,176.0,229.0,194.0,158.0,211.0,194.0,194.0,187.0,250.0,266.0,313.0,234.0,266.0,297.0,234.0,360.0,406.0,469.0,344.0,406.0,453.0,313.0
12,203.0,229.0,229.0,211.0,203.0,211.0,176.0,203.0,194.0,229.0,194.0,185.0,220.0,194.0,211.0,187.0,250.0,281.0,328.0,250.0,266.0,313.0,250.0,375.0,422.0,485.0,360.0,438.0,453.0,328.0
13,255.0,229.0,220.0,176.0,203.0,220.0,176.0,203.0,229.0,238.0,185.0,211.0,220.0,194.0,220.0,203.0,266.0,281.0,328.0,266.0,281.0,313.0,266.0,406.0,422.0,485.0,406.0,469.0,453.0,344.0
14,247.0,229.0,229.0,220.0,211.0,211.0,176.0,203.0,229.0,194.0,167.0,220.0,185.0,194.0,220.0,203.0,266.0,297.0,266.0,266.0,281.0,328.0,266.0,422.0,485.0,532.0,406.0,485.0,453.0,344.0
15,255.0,229.0,229.0,211.0,203.0,220.0,176.0,203.0,229.0,194.0,167.0,220.0,185.0,194.0,220.0,219.0,281.0,297.0,297.0,281.0,281.0,328.0,281.0,422.0,469.0,532.0,422.0,485.0,453.0,344.0
16,255.0,229.0,220.0,176.0,203.0,220.0,176.0,203.0,229.0,194.0,167.0,220.0,185.0,194.0,220.0,219.0,281.0,297.0,344.0,297.0,297.0,344.0,297.0,422.0,469.0,532.0,422.0,485.0,453.0,360.0
17,255.0,229.0,220.0,176.0,203.0,220.0,176.0,203.0,203.0,229.0,167.0,211.0,185.0,194.0,211.0,219.0,281.0,297.0,344.0,297.0,297.0,344.0,297.0,391.0,422.0,532.0,391.0,485.0,453.0,360.0
