,Head x,Neck x,Right Shoulder x,Right Elbow x,Right Wrist x,Left Shoulder x,Left Elbow x,Left Wrist x,Right Hip x,Right Knee x,Right Ankle x,Left Hip x,Left Knee x,Left Ankle x,Chest x,Head y,Neck y,Right Shoulder y,Right Elbow y,Right Wrist y,Left Shoulder y,Left Elbow y,Left Wrist y,Right Hip y,Right Knee y,Right Ankle y,Left Hip y,Left Knee y,Left Ankle y,Chest y
0,313.0,360.0,375.0,313.0,391.0,391.0,391.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,114.0,135.0,146.0,198.0,187.0,146.0,156.0,198.0,219.0,302.0,375.0,219.0,302.0,386.0,177.0
1,313.0,360.0,360.0,344.0,391.0,391.0,391.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,114.0,135.0,146.0,177.0,187.0,146.0,156.0,187.0,219.0,302.0,375.0,219.0,302.0,386.0,177.0
2,313.0,360.0,328.0,344.0,391.0,391.0,391.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,114.0,125.0,135.0,177.0,187.0,146.0,156.0,187.0,219.0,302.0,375.0,219.0,302.0,386.0,177.0
3,313.0,360.0,344.0,344.0,391.0,391.0,391.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,114.0,135.0,135.0,177.0,187.0,146.0,156.0,187.0,219.0,302.0,375.0,219.0,302.0,386.0,177.0
4,375.0,360.0,375.0,391.0,391.0,391.0,375.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,83.0,135.0,146.0,166.0,187.0,146.0,187.0,198.0,219.0,302.0,375.0,219.0,302.0,386.0,177.0
5,375.0,360.0,375.0,391.0,391.0,391.0,375.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,83.0,125.0,146.0,166.0,187.0,146.0,187.0,198.0,219.0,302.0,375.0,219.0,302.0,375.0,177.0
6,313.0,360.0,375.0,313.0,391.0,391.0,391.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,125.0,125.0,146.0,187.0,187.0,146.0,156.0,187.0,219.0,302.0,375.0,219.0,302.0,375.0,177.0
7,313.0,344.0,344.0,313.0,391.0,375.0,391.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,125.0,104.0,83.0,187.0,187.0,135.0,156.0,187.0,208.0,302.0,375.0,208.0,302.0,375.0,177.0
8,297.0,344.0,313.0,313.0,391.0,375.0,391.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,114.0,114.0,125.0,187.0,187.0,146.0,156.0,187.0,208.0,302.0,375.0,208.0,302.0,375.0,177.0
9,297.0,360.0,344.0,313.0,391.0,391.0,391.0,391.0,375.0,375.0,375.0,391.0,375.0,375.0,360.0,114.0,104.0,83.0,177.0,187.0,146.0,156.0,187.0,208.0,302.0,375.0,208.0,302.0,386.0,156.0
10,344.0,344.0,328.0,375.0,391.0,375.0,391.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,360.0,62.0,114.0,104.0,166.0,187.0,125.0,166.0,198.0,219.0,302.0,375.0,208.0,302.0,386.0,166.0
11,344.0,360.0,328.0,375.0,391.0,391.0,391.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,360.0,62.0,114.0,104.0,166.0,198.0,156.0,166.0,198.0,219.0,302.0,375.0,219.0,313.0,375.0,166.0
12,360.0,360.0,375.0,406.0,406.0,328.0,297.0,391.0,391.0,375.0,375.0,391.0,375.0,375.0,375.0,52.0,125.0,146.0,166.0,198.0,135.0,187.0,198.0,219.0,313.0,375.0,219.0,313.0,375.0,177.0
13,360.0,360.0,375.0,313.0,391.0,391.0,375.0,406.0,391.0,375.0,375.0,391.0,360.0,375.0,360.0,52.0,114.0,156.0,198.0,198.0,156.0,187.0,198.0,219.0,302.0,375.0,219.0,313.0,386.0,177.0
14,360.0,360.0,360.0,391.0,391.0,391.0,375.0,391.0,391.0,375.0,375.0,391.0,360.0,375.0,360.0,52.0,114.0,146.0,177.0,198.0,135.0,187.0,198.0,219.0,313.0,375.0,219.0,313.0,375.0,166.0
15,360.0,344.0,360.0,313.0,391.0,375.0,375.0,391.0,391.0,375.0,375.0,391.0,360.0,375.0,375.0,52.0,114.0,146.0,208.0,198.0,166.0,187.0,198.0,229.0,313.0,375.0,229.0,313.0,386.0,187.0
16,406.0,360.0,375.0,328.0,391.0,328.0,375.0,391.0,406.0,375.0,375.0,391.0,360.0,375.0,391.0,104.0,135.0,156.0,208.0,198.0,146.0,187.0,198.0,240.0,313.0,375.0,229.0,313.0,386.0,187.0
17,344.0,360.0,375.0,391.0,391.0,328.0,360.0,391.0,391.0,375.0,375.0,391.0,360.0,375.0,391.0,62.0,114.0,146.0,166.0,198.0,135.0,177.0,198.0,229.0,313.0,375.0,229.0,313.0,386.0,177.0
18,297.0,360.0,313.0,406.0,391.0,313.0,406.0,391.0,406.0,375.0,375.0,391.0,360.0,375.0,375.0,114.0,135.0,156.0,187.0,208.0,156.0,198.0,198.0,240.0,313.0,375.0,240.0,313.0,386.0,187.0
19,313.0,360.0,328.0,406.0,391.0,375.0,391.0,391.0,406.0,375.0,375.0,391.0,360.0,375.0,375.0,125.0,156.0,156.0,187.0,208.0,177.0,187.0,208.0,240.0,313.0,386.0,240.0,313.0,386.0,198.0
20,313.0,375.0,360.0,360.0,391.0,375.0,375.0,391.0,391.0,375.0,375.0,391.0,360.0,375.0,360.0,125.0,187.0,93.0,219.0,219.0,187.0,208.0,219.0,240.0,313.0,386.0,240.0,323.0,396.0,156.0
21,344.0,360.0,328.0,360.0,391.0,375.0,391.0,391.0,406.0,375.0,375.0,391.0,360.0,375.0,375.0,83.0,146.0,156.0,219.0,219.0,156.0,177.0,219.0,250.0,313.0,386.0,250.0,323.0,396.0,198.0
22,360.0,375.0,375.0,360.0,438.0,360.0,360.0,391.0,406.0,360.0,375.0,391.0,360.0,375.0,391.0,73.0,156.0,166.0,219.0,219.0,166.0,187.0,219.0,250.0,323.0,386.0,250.0,323.0,386.0,198.0
23,360.0,344.0,328.0,328.0,438.0,375.0,391.0,406.0,406.0,360.0,375.0,391.0,360.0,375.0,391.0,83.0,146.0,166.0,198.0,219.0,187.0,177.0,219.0,250.0,323.0,396.0,250.0,323.0,386.0,208.0
24,313.0,375.0,375.0,406.0,438.0,375.0,391.0,406.0,406.0,375.0,375.0,391.0,344.0,375.0,391.0,156.0,187.0,177.0,177.0,219.0,198.0,187.0,219.0,260.0,323.0,386.0,260.0,323.0,386.0,219.0
25,344.0,375.0,328.0,391.0,438.0,375.0,406.0,406.0,406.0,375.0,375.0,391.0,344.0,375.0,391.0,146.0,198.0,177.0,187.0,219.0,198.0,187.0,135.0,271.0,323.0,396.0,260.0,323.0,386.0,229.0
26,328.0,375.0,375.0,360.0,438.0,375.0,406.0,406.0,406.0,375.0,375.0,391.0,344.0,375.0,391.0,135.0,198.0,198.0,229.0,219.0,198.0,187.0,135.0,271.0,323.0,396.0,271.0,323.0,386.0,229.0
27,344.0,360.0,375.0,313.0,438.0,328.0,313.0,406.0,406.0,375.0,375.0,391.0,344.0,375.0,391.0,104.0,166.0,177.0,219.0,219.0,177.0,208.0,135.0,271.0,323.0,396.0,271.0,323.0,386.0,219.0
28,344.0,375.0,375.0,406.0,438.0,375.0,406.0,391.0,406.0,375.0,375.0,391.0,344.0,375.0,375.0,156.0,208.0,198.0,187.0,219.0,208.0,187.0,166.0,271.0,333.0,396.0,271.0,323.0,386.0,240.0
29,313.0,375.0,344.0,406.0,438.0,375.0,406.0,391.0,406.0,360.0,375.0,391.0,344.0,375.0,391.0,166.0,208.0,198.0,187.0,219.0,208.0,198.0,166.0,271.0,323.0,396.0,271.0,323.0,386.0,240.0
30,313.0,375.0,375.0,406.0,406.0,360.0,406.0,406.0,406.0,360.0,375.0,391.0,344.0,375.0,391.0,177.0,208.0,208.0,198.0,156.0,208.0,198.0,146.0,281.0,333.0,396.0,271.0,323.0,386.0,240.0
31,344.0,375.0,391.0,406.0,375.0,344.0,406.0,406.0,406.0,360.0,375.0,391.0,344.0,375.0,391.0,156.0,198.0,208.0,198.0,166.0,187.0,198.0,146.0,281.0,333.0,386.0,281.0,323.0,386.0,240.0
32,344.0,360.0,375.0,438.0,453.0,344.0,375.0,406.0,406.0,360.0,375.0,391.0,344.0,375.0,375.0,114.0,177.0,187.0,208.0,219.0,187.0,187.0,146.0,281.0,333.0,396.0,281.0,323.0,386.0,229.0
33,344.0,360.0,375.0,406.0,406.0,328.0,313.0,406.0,406.0,360.0,375.0,391.0,344.0,375.0,375.0,125.0,187.0,198.0,208.0,146.0,187.0,187.0,146.0,281.0,333.0,396.0,281.0,323.0,386.0,240.0
34,344.0,360.0,391.0,406.0,406.0,344.0,391.0,391.0,406.0,360.0,375.0,391.0,344.0,375.0,375.0,146.0,187.0,198.0,208.0,146.0,187.0,208.0,198.0,281.0,333.0,386.0,281.0,333.0,386.0,240.0
35,360.0,375.0,391.0,406.0,406.0,344.0,328.0,328.0,406.0,360.0,375.0,391.0,344.0,375.0,375.0,156.0,208.0,219.0,208.0,146.0,198.0,187.0,146.0,292.0,333.0,386.0,281.0,323.0,386.0,250.0
36,328.0,360.0,375.0,406.0,406.0,328.0,360.0,328.0,406.0,360.0,375.0,391.0,344.0,375.0,375.0,156.0,198.0,208.0,208.0,146.0,198.0,198.0,146.0,292.0,333.0,386.0,281.0,323.0,386.0,250.0
37,406.0,391.0,406.0,422.0,406.0,375.0,375.0,406.0,406.0,360.0,375.0,391.0,344.0,375.0,391.0,156.0,198.0,198.0,208.0,146.0,208.0,229.0,146.0,292.0,333.0,386.0,281.0,333.0,386.0,240.0
38,344.0,360.0,391.0,406.0,406.0,328.0,328.0,406.0,406.0,360.0,375.0,391.0,344.0,375.0,375.0,135.0,198.0,198.0,208.0,146.0,198.0,187.0,146.0,292.0,333.0,386.0,292.0,323.0,386.0,250.0
